playerid,Name,Team,PA,HR,SB,Off,wRC+,wOBA,ISO+,Barrel%,BsR,Spd,BB%+,K%+,Oppo%+,EV,maxEV,xwOBA,Total Z-Score
22581,Alejandro Kirk,TOR,0.72,0.1,-0.85,0.56,1.09,1.0,-0.38,-0.26,-2.31,-1.57,1.34,-1.85,1.12,0.86,-0.22,1.2,0.53
5297,Aaron Hicks,NYY,0.1,-0.56,0.57,-0.35,-0.41,-0.5,-1.02,-0.48,0.83,0.68,2.09,0.32,0.18,-0.34,-0.4,-0.19,0.53
10324,Marcell Ozuna,ATL,0.48,1.09,-0.56,-0.82,-0.45,-0.33,0.6,1.32,-0.84,-0.82,-0.76,0.25,-0.86,0.35,1.09,0.79,0.52
26197,Andrew Vaughn,CHW,0.82,0.43,-0.85,0.17,0.48,0.46,0.16,0.04,-1.04,-1.17,-0.85,-0.77,0.65,1.0,0.47,0.27,0.28
15149,Trey Mancini,- - -,1.04,0.54,-0.85,-0.2,0.13,0.05,0.05,0.43,-0.97,-1.34,0.39,0.18,-0.46,0.4,0.36,0.5,0.26
10815,Jurickson Profar,SDP,1.54,0.21,-0.14,0.27,0.36,0.27,-0.15,-0.92,-0.45,0.11,0.96,-1.09,0.01,-0.53,-0.47,0.15,0.13
16426,Thairo Estrada,SFG,0.72,0.1,2.13,0.26,0.21,0.18,-0.3,-0.82,0.79,1.15,-0.76,-0.95,-0.69,-1.13,-0.5,-0.31,0.08
18568,Luis Arraez,MIN,1.15,-0.56,-0.28,1.29,1.17,1.08,-0.88,-1.02,-0.06,-0.47,0.13,-2.44,1.35,0.12,-1.19,0.68,0.08
17907,Brendan Rodgers,COL,1.0,-0.01,-0.85,-0.66,-0.33,0.29,-0.24,-0.13,-0.55,-0.7,-0.13,-0.8,1.58,0.63,0.5,0.47,0.07
13675,Tyrone Taylor,MIL,-0.23,0.43,-0.42,-0.02,0.05,0.1,1.0,0.53,0.4,0.45,-0.99,0.43,-0.81,-0.3,-0.5,-0.08,0.06
17452,Jose Siri,- - -,-0.79,-0.67,1.14,-0.41,-0.99,-1.15,-0.44,-0.38,1.84,2.3,-0.65,1.85,0.01,-0.67,0.43,-1.41,0.02
9929,Darin Ruf,- - -,-0.35,-0.23,-0.56,-0.5,-0.45,-0.52,-0.38,0.21,0.07,-0.24,1.14,0.76,0.3,0.26,0.47,0.01,-0.02
18795,Ramon Urias,BAL,0.05,0.32,-0.71,-0.02,0.13,0.08,0.31,0.46,0.01,-0.65,-0.42,-0.0,0.01,0.35,-0.26,0.3,-0.03
18054,Sam Haggerty,SEA,-1.66,-0.89,1.0,0.2,0.52,0.27,-0.04,-0.92,0.73,2.07,0.36,0.72,0.13,-1.23,-0.6,-0.72,-0.07
16622,Luis Urias,MIL,0.24,0.32,-0.71,0.24,0.36,0.46,0.16,0.14,0.07,-0.88,0.79,-0.22,-0.57,-0.62,-0.36,0.47,-0.1
23359,Nelson Velazquez,CHC,-1.63,-0.78,-0.14,-0.38,-0.52,-0.52,0.22,1.37,0.04,1.43,0.3,1.48,-1.27,0.26,0.16,-0.14,-0.11
15172,Tim Anderson,CHW,-0.61,-0.78,1.0,0.31,0.36,0.35,-1.08,-0.48,0.93,1.03,-1.42,-1.02,1.29,-0.2,-0.71,0.88,-0.16
