"Name","Team","G","GS","IP","SV","xFIP-","SwStr%","F-Strike%","Barrel%","HardHit%","CSW%","K%+","BB%+","xERA","EV","ER","playerid"
"Paolo Espino","WSN","42","19","113.1","0","104","9.1%","58.7%","7.9%","41.2%","28.5%","84","59","4.78","89.3","61","8246"
"Nick Nelson","PHI","47","2","68.2","1","112","12.1%","58.8%","3.6%","32.5%","25.7%","100","142","3.64","87.6","37","20153"
"Madison Bumgarner","ARI","30","30","158.2","0","121","7.7%","61.6%","9.8%","42.8%","23.9%","71","85","5.53","90.3","86","5524"
"Dylan Bundy","MIN","29","29","140.0","0","119","9.7%","67.6%","8.9%","38.3%","26.7%","71","59","4.34","88.9","76","12917"
"Graham Ashcraft","CIN","19","19","105.0","0","102","8.4%","58.4%","4.8%","36.3%","23.5%","68","78","4.02","86.9","57","27552"
"Kyle Bradish","BAL","23","23","117.2","0","102","10.0%","57.8%","7.8%","40.6%","25.9%","98","113","4.49","89.9","64","24586"
"Lucas Giolito","CHW","30","30","161.2","0","93","12.2%","61.3%","7.5%","39.0%","29.1%","114","109","4.23","88.8","88","15474"
"Hunter Strickland","CIN","66","0","62.1","7","124","11.1%","61.6%","9.8%","37.0%","26.2%","93","140","5.38","89.8","34","7836"
"Tyler Duffey","MIN","40","0","44.0","2","90","11.1%","60.0%","8.5%","43.1%","26.7%","95","101","5.53","90.2","24","13758"
"Jake Bird","COL","38","0","47.2","0","103","8.1%","52.6%","6.3%","42.3%","26.7%","88","131","4.78","91.2","26","21267"
"Yerry De Los Santos","PIT","26","0","25.2","3","98","8.9%","63.4%","12.2%","39.2%","26.9%","103","118","4.68","88.8","14","21420"
"Aaron Civale","CLE","20","20","97.0","0","92","10.4%","63.1%","7.5%","40.0%","27.6%","108","67","3.80","88.6","53","19479"
"Ken Waldichuk","OAK","7","7","34.2","0","108","11.6%","61.6%","12.1%","37.4%","25.1%","102","85","4.59","88.7","19","27681"
"Cole Ragans","TEX","9","9","40.0","0","123","10.9%","60.3%","6.9%","32.8%","22.2%","70","115","4.78","87.5","22","21846"
"German Marquez","COL","31","31","181.2","0","101","10.1%","65.1%","7.1%","46.8%","25.7%","85","98","4.49","90.5","100","15038"
"Sean Manaea","SDP","30","28","158.0","0","99","12.0%","63.8%","9.1%","42.6%","27.4%","103","90","4.05","90.3","87","15873"
"Amir Garrett","KCR","60","0","45.1","0","121","10.4%","58.7%","6.4%","30.0%","27.7%","113","203","3.62","88.3","25","14375"
"Jake Diekman","- - -","70","0","57.2","1","110","13.1%","61.7%","7.1%","39.3%","30.4%","132","195","4.25","89.8","32","5003"
"Ian Anderson","ATL","22","22","111.2","0","106","12.3%","56.8%","6.2%","40.5%","25.7%","87","132","4.37","89.2","62","19951"
"Shane Baz","TBR","6","6","27.0","0","87","13.3%","59.0%","7.8%","50.6%","29.3%","115","96","4.23","91.1","15","22264"
"Jose Urena","- - -","21","17","97.0","0","115","8.4%","58.3%","6.8%","38.5%","22.6%","64","120","4.94","88.2","54","11589"
"Josiah Gray","WSN","28","28","148.2","0","114","11.4%","57.8%","10.7%","36.8%","27.9%","105","123","4.25","87.4","83","24580"
"Matt Swarmer","CHC","11","5","34.0","0","117","13.4%","50.3%","13.4%","48.5%","27.5%","104","158","5.63","90.7","19","19705"
"Trevor May","NYM","26","0","25.0","1","94","13.3%","52.3%","9.7%","44.4%","30.5%","119","98","3.64","89.4","14","6398"
"Kyle Gibson","PHI","31","31","167.2","0","99","11.0%","58.9%","7.5%","37.3%","26.2%","89","81","4.46","88.5","94","10123"
"Antonio Senzatela","COL","19","19","92.1","0","102","7.0%","58.8%","4.5%","41.4%","21.9%","58","67","5.24","90.0","52","15488"
"Zack Littell","SFG","39","0","44.1","1","104","12.8%","65.8%","8.0%","37.2%","26.1%","91","83","3.64","88.0","25","15823"
"Brad Keller","KCR","35","22","139.2","1","110","9.8%","54.1%","6.6%","41.4%","23.4%","74","115","4.37","89.3","79","15734"
"Alex Wood","SFG","26","26","130.2","0","86","11.0%","63.4%","7.1%","39.3%","28.9%","104","65","4.00","88.6","74","13781"
"Daniel Lynch","KCR","27","27","131.2","0","109","11.3%","58.7%","8.8%","47.7%","24.8%","92","108","5.07","91.2","75","21537"
"Josh Rogers","WSN","16","3","26.1","0","148","6.0%","60.2%","8.9%","38.9%","21.2%","47","117","5.01","88.6","15","18510"
"Taylor Hearn","TEX","31","13","100.0","1","106","9.8%","63.7%","9.8%","40.2%","25.9%","97","119","4.81","89.5","57","18325"
"Tyler Danish","BOS","32","0","40.1","0","104","7.4%","53.8%","10.4%","40.8%","26.4%","83","86","6.29","89.0","23","15126"
"Tylor Megill","NYM","15","9","47.1","0","84","11.6%","62.5%","10.4%","34.8%","26.7%","113","78","4.31","89.2","27","21318"
"Tyler Beede","- - -","31","5","61.1","0","128","8.6%","55.1%","5.2%","42.5%","24.7%","61","123","4.84","88.7","35","16981"
"Jackson Tetreault","WSN","4","4","21.0","0","145","7.7%","60.4%","9.1%","57.1%","22.2%","41","126","7.41","92.8","12","20565"
"Zach Thompson","PIT","29","22","121.2","0","111","10.5%","63.0%","6.4%","39.6%","26.3%","73","102","5.14","88.3","70","16094"
"Yusei Kikuchi","TOR","32","20","100.2","1","103","13.3%","57.3%","14.8%","47.1%","27.6%","123","159","5.63","91.6","58","20633"
"Daniel Norris","- - -","41","3","58.2","0","101","13.2%","58.0%","10.8%","39.9%","30.9%","117","141","4.49","89.1","34","13475"
"Dennis Santana","TEX","63","1","58.2","1","106","11.4%","52.9%","4.7%","33.1%","28.9%","95","137","3.89","86.6","34","17878"
"Jordan Weems","WSN","32","0","39.2","0","99","12.3%","55.4%","7.1%","40.7%","24.5%","109","87","3.39","90.6","23","13190"
"Josh Hader","- - -","56","0","50.0","36","74","16.0%","52.5%","11.5%","36.3%","31.9%","164","116","3.51","87.7","29","14212"
"Noe Ramirez","ARI","55","0","50.0","0","111","11.9%","61.4%","8.9%","36.3%","29.4%","105","146","4.17","87.8","29","12800"
"Jose Berrios","TOR","32","32","172.0","0","107","9.3%","66.0%","9.5%","43.4%","27.7%","89","74","5.11","90.0","100","14168"
"Tyler Gilbert","ARI","8","7","34.1","0","129","8.3%","60.3%","11.3%","41.7%","25.0%","61","83","6.74","88.9","20","17964"
"Cory Abbott","WSN","16","9","48.0","0","142","11.8%","54.2%","12.1%","41.8%","25.2%","92","140","4.43","90.3","28","20277"
"Steven Matz","STL","15","10","48.0","0","79","12.1%","64.3%","9.2%","36.2%","30.4%","115","58","3.64","88.4","28","13361"
"Garrett Richards","TEX","32","2","42.2","1","100","12.1%","58.9%","7.5%","38.3%","26.7%","88","88","4.40","89.3","25","9784"
"J.B. Wendelken","ARI","29","0","29.0","0","114","9.2%","50.8%","7.0%","32.6%","23.0%","76","138","6.33","87.9","17","14506"
"Jon Heasley","KCR","21","21","104.0","0","140","7.7%","55.7%","9.4%","45.0%","22.5%","68","126","5.35","90.2","61","22224"
"Cole Sulser","MIA","39","0","34.0","2","93","13.4%","63.8%","8.4%","42.1%","28.6%","113","130","4.97","90.2","20","15256"
"Trevor Richards","TOR","62","4","64.0","0","101","14.9%","53.4%","11.0%","39.3%","28.9%","131","155","4.62","89.4","38","19309"
"Tommy Henry","ARI","9","9","47.0","0","124","10.7%","58.5%","9.0%","39.3%","25.4%","78","124","4.87","90.0","28","26285"
"Ian Kennedy","ARI","57","0","50.1","10","126","8.5%","66.4%","12.1%","44.2%","23.6%","84","114","6.13","92.2","30","6986"
"Jason Alexander","MIL","18","11","71.2","0","113","7.1%","64.2%","8.2%","43.6%","25.9%","63","105","5.49","90.1","43","19666"
"Bryan Shaw","CLE","60","2","58.1","1","110","9.6%","60.2%","6.7%","43.6%","24.4%","90","124","4.74","90.8","35","8110"
"Dauri Moreta","CIN","35","1","38.1","1","110","11.1%","61.9%","12.5%","41.3%","28.9%","108","98","4.02","90.6","23","21101"
"Robert Stephenson","- - -","58","0","58.0","0","103","14.1%","62.8%","9.0%","41.8%","29.1%","98","68","4.78","90.6","35","13594"
"Yunior Marte","SFG","39","0","48.0","0","108","11.0%","61.2%","3.5%","37.3%","26.3%","91","124","3.83","86.8","29","14416"
"Mitch White","- - -","25","18","99.0","0","111","8.4%","60.5%","5.6%","34.0%","23.9%","79","97","4.14","87.9","60","19225"
"Trevor Rogers","MIA","23","23","107.0","0","103","10.8%","61.4%","7.5%","37.4%","26.0%","98","114","4.84","88.4","65","22286"
"Kutter Crawford","BOS","21","12","77.1","0","110","11.3%","61.4%","8.8%","38.9%","27.5%","104","108","4.62","89.7","47","20531"
"Calvin Faucher","TBR","22","0","21.1","1","111","10.2%","50.5%","13.0%","42.0%","28.2%","94","123","6.01","90.7","13","20116"
"Bryse Wilson","PIT","25","20","115.2","0","113","7.7%","59.9%","7.7%","43.4%","24.5%","69","76","5.53","90.8","71","19990"
"Alex Faedo","DET","12","12","53.2","0","128","9.9%","60.7%","9.8%","39.1%","26.1%","81","128","5.53","91.1","33","19874"
"Austin Gomber","COL","33","17","124.2","0","105","9.8%","59.2%","8.5%","35.7%","25.1%","79","78","4.59","88.1","77","16561"
"Kris Bubic","KCR","28","27","129.0","0","115","8.9%","59.1%","7.8%","44.9%","24.9%","84","134","5.67","90.0","80","21455"
"Cristopher Sanchez","PHI","15","3","40.0","1","105","8.0%","56.5%","6.6%","37.2%","26.0%","87","116","4.31","87.9","25","20778"
"Jacob Barnes","- - -","23","0","22.1","0","128","8.9%","70.1%","6.8%","41.9%","22.2%","56","116","4.78","90.0","14","12323"
"Eric Stout","- - -","20","0","22.1","1","137","9.3%","65.5%","9.1%","36.4%","28.9%","100","175","4.37","90.6","14","16873"
"Hyun-Jin Ryu","TOR","6","6","27.0","0","108","7.6%","57.5%","9.7%","44.1%","25.1%","64","44","5.24","91.1","17","14444"
"Humberto Castellanos","ARI","11","9","44.1","0","117","7.9%","58.8%","6.8%","37.7%","25.8%","73","75","5.35","89.5","28","21183"
"Mike Mayers","LAA","24","3","50.2","0","117","11.5%","57.8%","12.7%","48.1%","25.7%","91","101","5.31","91.2","32","15451"
"Ryan Borucki","- - -","32","0","25.1","0","113","12.0%","51.4%","10.4%","45.5%","26.3%","85","123","5.90","88.1","16","16350"
"Justin Lawrence","COL","38","0","42.2","1","90","9.7%","61.3%","4.2%","39.2%","29.2%","111","139","3.54","87.8","27","17639"
"Chad Kuhl","COL","27","27","137.0","0","119","9.9%","59.6%","9.7%","44.6%","25.9%","79","113","5.31","90.5","87","14975"
"Daulton Jefferies","OAK","8","8","39.1","0","110","9.7%","58.1%","8.2%","38.1%","25.4%","73","58","3.75","89.1","25","19345"
"Jared Koenig","OAK","10","5","39.1","0","132","6.4%","56.5%","5.2%","43.7%","23.6%","56","106","5.14","90.4","25","27517"
"Alex Colome","COL","53","0","47.0","4","114","8.6%","53.0%","9.9%","46.0%","22.2%","66","123","5.78","90.1","30","6661"
"Sean Hjelle","SFG","8","0","25.0","0","69","8.2%","60.0%","6.4%","44.9%","28.5%","108","84","4.23","89.5","16","21481"
"Ryan Brasier","BOS","68","0","62.1","1","88","12.8%","67.7%","8.6%","46.5%","28.0%","110","62","3.97","90.7","40","5615"
"Michael Pineda","DET","11","11","46.2","0","122","7.7%","61.5%","10.2%","44.0%","23.7%","59","50","5.90","91.8","30","5372"
"Austin Davis","- - -","52","3","56.0","0","118","11.0%","56.4%","7.4%","30.9%","27.2%","109","156","4.59","86.5","36","17117"
"Erick Fedde","WSN","27","27","127.0","0","118","7.3%","61.4%","7.8%","43.2%","24.5%","73","122","5.45","89.4","82","17425"
"Ryan Feltner","COL","20","19","97.1","0","111","8.8%","57.0%","8.2%","42.8%","25.5%","87","99","4.91","89.7","63","21446"
"Hansel Robles","BOS","26","0","24.2","2","123","9.5%","53.2%","11.8%","50.0%","24.2%","85","157","6.49","92.7","16","11801"
"Kirby Snead","OAK","46","0","44.2","1","130","8.2%","62.9%","6.6%","38.4%","27.3%","75","131","4.43","87.8","29","19179"
"Chi Chi Gonzalez","- - -","7","5","23.0","0","117","6.6%","67.7%","9.1%","40.3%","26.6%","68","86","5.67","88.7","15","14663"
"Cole Sands","MIN","11","3","30.2","1","128","9.8%","56.6%","7.1%","39.4%","25.5%","87","112","4.43","89.3","20","21461"
"Josh Winckowski","BOS","15","14","70.1","0","117","7.0%","59.8%","9.9%","46.1%","25.5%","63","106","4.84","89.5","46","22387"
"Ty Blach","COL","24","1","44.1","1","115","8.9%","69.4%","6.0%","37.1%","28.0%","66","69","4.08","87.4","29","14361"
"Nick Wittgren","STL","29","0","29.0","1","128","7.1%","59.0%","1.0%","34.0%","23.9%","56","90","4.20","89.0","19","15594"
"Max Castillo","- - -","14","6","39.1","0","103","9.6%","60.6%","10.3%","44.0%","25.0%","98","110","4.74","90.7","26","21956"
"Matthew Liberatore","STL","9","7","34.2","0","123","8.2%","53.4%","8.8%","48.2%","23.8%","77","135","5.49","91.2","23","22294"
"Bruce Zimmermann","BAL","15","13","73.2","0","112","8.9%","65.9%","13.2%","42.4%","25.1%","69","47","6.53","91.1","49","20370"
"Mike Minor","CIN","19","19","98.0","0","130","8.3%","60.2%","8.4%","34.9%","25.6%","74","106","4.59","88.2","66","10021"
"Joe Kelly","CHW","43","1","37.0","1","80","12.9%","53.5%","3.3%","31.9%","32.7%","140","169","3.15","85.9","25","9761"
"Trevor Kelley","MIL","18","0","23.2","0","114","9.6%","55.1%","12.3%","23.3%","26.7%","95","101","4.20","85.0","16","18454"
"Adonis Medina","NYM","14","0","23.2","1","110","8.2%","62.7%","7.2%","55.4%","24.9%","68","66","5.28","90.7","16","19903"
"Jeurys Familia","- - -","48","0","44.1","0","108","10.8%","51.0%","10.1%","46.8%","27.9%","89","131","4.87","90.8","30","5114"
"Justin Dunn","CIN","7","7","31.0","0","149","8.3%","56.5%","16.5%","44.3%","26.5%","67","149","8.75","91.4","21","19268"
"Dinelson Lamet","- - -","32","0","32.1","0","98","16.5%","60.4%","9.9%","44.4%","32.4%","134","154","4.56","90.5","22","17186"
"Adrian Martinez","OAK","12","12","57.2","0","104","10.7%","59.5%","10.3%","37.5%","27.0%","92","91","5.38","89.1","40","21023"
"Louis Head","- - -","28","0","28.2","1","139","9.7%","53.6%","5.4%","41.3%","23.8%","83","132","4.65","91.0","20","13259"
"Adam Oller","OAK","19","14","74.1","0","154","9.3%","60.5%","10.0%","41.6%","22.0%","61","144","5.82","90.1","52","20132"
"Patrick Corbin","WSN","31","31","152.2","0","105","9.2%","68.9%","11.0%","44.6%","25.8%","79","83","6.41","90.8","107","9323"
"Reiver Sanmartin","CIN","45","4","57.0","0","110","10.9%","58.2%","7.2%","35.6%","26.9%","81","137","3.89","86.0","40","19754"
"Elieser Hernandez","MIA","20","10","62.1","0","126","10.2%","69.1%","13.0%","35.9%","26.4%","95","95","4.81","89.4","44","16933"
"Kaleb Ort","BOS","25","0","28.1","1","131","11.7%","60.4%","8.9%","47.8%","28.0%","91","139","5.35","91.6","20","20061"
"Joel Kuhnel","CIN","53","0","58.0","1","88","11.2%","58.8%","7.2%","38.9%","27.2%","97","66","3.78","90.1","41","19995"
"Chase Anderson","CIN","9","7","24.0","0","115","9.1%","53.4%","6.5%","38.7%","23.3%","99","176","3.75","84.2","17","6895"
"Josh Fleming","TBR","10","3","35.0","0","91","10.6%","65.7%","7.9%","43.3%","27.3%","77","88","4.37","90.4","25","20418"
"Josh Sborz","TEX","19","1","22.1","0","82","14.6%","60.0%","10.5%","47.4%","31.3%","144","137","4.97","92.1","16","18323"
"Josh Staumont","KCR","42","0","37.2","3","127","10.7%","54.0%","5.8%","43.7%","25.9%","110","205","4.97","90.2","27","18335"
"Chasen Shreve","NYM","25","0","26.1","0","92","11.8%","70.2%","12.0%","40.0%","28.7%","112","106","4.91","89.5","19","10855"
"Art Warren","CIN","39","0","36.0","3","114","12.1%","58.8%","11.9%","40.6%","29.3%","107","161","4.81","90.3","26","18251"
"Collin Snider","KCR","42","0","34.1","0","114","8.7%","49.0%","7.1%","43.8%","24.9%","66","124","6.01","89.6","25","23307"
"Luke Weaver","- - -","26","1","35.2","0","97","10.7%","55.7%","10.8%","45.0%","22.7%","97","92","5.45","91.5","26","16918"
"Chase Silseth","LAA","7","7","28.2","0","108","10.8%","64.3%","10.9%","51.1%","28.3%","84","116","6.61","90.9","21","30074"
"Aaron Sanchez","- - -","15","10","60.0","0","105","7.8%","61.9%","5.9%","48.0%","25.2%","69","69","4.53","92.4","44","11490"
"T.J. McFarland","STL","28","0","32.2","0","117","6.6%","55.2%","7.8%","51.7%","22.0%","49","91","6.13","92.5","24","3237"
"Drew VerHagen","STL","19","0","21.2","0","137","11.7%","55.7%","9.6%","34.2%","26.3%","75","159","6.29","88.3","16","13424"
"Tucker Davidson","- - -","12","11","52.0","0","147","9.5%","53.5%","5.2%","39.5%","24.6%","61","177","4.84","89.6","39","19871"
"Julian Merryweather","TOR","26","1","26.2","0","109","11.0%","68.1%","10.3%","44.8%","27.6%","87","73","4.49","90.3","20","16703"
"Anthony Banda","- - -","32","1","26.2","0","113","9.3%","54.8%","6.7%","32.2%","25.2%","99","119","5.01","84.9","20","14706"
"Zach Logue","OAK","14","10","57.0","0","135","8.7%","51.0%","12.4%","41.5%","22.8%","74","97","5.97","89.5","43","20231"
"Jake McGee","- - -","42","0","37.0","3","138","8.6%","58.9%","11.9%","42.1%","22.3%","68","89","5.14","90.2","28","7550"
"Ashton Goudeau","COL","12","0","20.1","1","126","9.9%","57.4%","5.9%","45.6%","24.0%","75","128","4.62","91.0","16","15139"
"Joan Adon","WSN","14","14","64.2","0","126","6.5%","56.5%","10.0%","36.7%","23.3%","78","152","6.01","89.3","51","22925"
"Kolby Allard","TEX","10","0","21.0","1","109","11.0%","64.4%","14.8%","42.6%","29.1%","98","86","5.67","91.6","17","18694"
"Heath Hembree","- - -","26","0","22.0","0","154","6.6%","56.1%","15.1%","50.7%","26.3%","70","192","7.55","90.7","18","11632"
"Carlos Hernandez","KCR","27","7","56.0","0","146","10.7%","57.9%","8.0%","38.2%","24.5%","59","145","5.28","88.7","46","22713"
"Spencer Howard","TEX","10","8","37.2","0","122","7.8%","58.1%","10.7%","42.0%","25.3%","80","104","5.53","91.4","31","23252"
"Jhoulys Chacin","COL","35","0","47.1","0","122","8.5%","57.5%","8.2%","41.5%","25.6%","75","116","4.74","89.7","40","2608"
"Vladimir Gutierrez","CIN","10","8","36.2","0","157","6.7%","54.7%","9.2%","42.5%","24.3%","72","162","5.75","89.3","31","19278"
"Luis Patino","TBR","6","6","20.0","0","175","9.5%","65.3%","9.6%","31.5%","23.5%","51","165","5.21","88.7","18","22815"
"Bennett Sousa","CHW","25","0","20.1","1","137","11.8%","59.4%","6.8%","42.5%","25.5%","56","130","4.23","88.7","19","21345"
"Sean Newcomb","- - -","20","1","27.2","0","127","7.6%","54.5%","13.8%","46.0%","26.1%","92","171","6.53","90.7","27","16943"
"Miguel Yajure","PIT","12","1","24.1","1","143","10.4%","60.5%","7.1%","48.2%","24.8%","59","162","7.88","92.3","24","21111"
"Dallas Keuchel","- - -","14","14","60.2","0","120","9.2%","58.4%","8.8%","38.8%","24.5%","66","127","5.49","88.8","62","9434"
"Kohei Arihara","TEX","5","4","20.0","0","133","10.0%","57.4%","10.0%","43.8%","22.3%","58","127","7.13","90.1","21","27505"
"Elvin Rodriguez","DET","7","5","29.2","0","137","6.6%","52.4%","14.7%","51.0%","22.8%","79","131","6.83","92.9","35","20962"
