"Name","Team","G","GS","IP","SV","xFIP-","SwStr%","F-Strike%","Barrel%","HardHit%","CSW%","K%+","BB%+","xERA","EV","ER","playerid"
"Triston McKenzie","CLE","31","30","191.1","0","95","13.0%","62.5%","9.8%","40.4%","27.6%","115","74","3.54","90.2","63","18000"
"Jonathan Hernandez","TEX","29","0","30.1","4","101","12.5%","54.2%","4.7%","50.0%","27.4%","93","162","4.08","90.3","10","17464"
"Ryan Pressly","HOU","50","0","48.1","33","55","17.7%","64.8%","5.8%","37.5%","33.2%","161","89","2.62","89.0","16","7005"
"Steven Okert","MIA","60","0","51.1","0","104","13.0%","57.0%","5.6%","29.6%","30.6%","126","142","3.22","86.8","17","13580"
"Penn Murfee","SEA","64","1","69.1","0","91","11.4%","65.4%","5.1%","30.1%","29.8%","126","82","2.64","85.7","23","25174"
"Luis Castillo","- - -","25","25","150.1","0","81","12.6%","61.0%","6.8%","37.2%","28.4%","121","89","3.31","89.0","50","15689"
"Seranthony Dominguez","PHI","54","0","51.0","9","82","14.1%","58.0%","8.1%","45.5%","27.2%","130","128","3.36","90.2","17","19249"
"Zach Jackson","OAK","54","0","48.0","3","105","13.0%","52.5%","10.0%","39.0%","29.5%","149","204","3.59","89.4","16","19493"
"Edward Cabrera","MIA","14","14","71.2","0","103","13.3%","56.0%","8.6%","33.3%","30.6%","114","137","4.05","86.7","24","21690"
"Ross Stripling","TOR","32","24","134.1","1","93","11.0%","70.3%","9.2%","37.2%","27.5%","93","46","3.57","88.9","45","13273"
"Dylan Floro","MIA","56","0","53.2","10","90","9.3%","64.1%","5.1%","32.5%","28.2%","96","82","3.05","87.4","18","13394"
"Joey Wentz","DET","7","7","32.2","0","116","8.6%","58.5%","7.4%","35.1%","24.1%","90","120","3.62","88.8","11","19962"
"Enyel De Los Santos","CLE","50","0","53.1","1","80","14.0%","65.6%","9.6%","45.2%","28.9%","128","99","3.91","90.6","18","18403"
"Giovanny Gallegos","STL","57","0","59.0","14","88","17.3%","67.2%","9.0%","35.4%","31.8%","137","92","2.92","89.8","20","14986"
"Brandon Woodruff","MIL","27","27","153.1","0","79","14.1%","65.6%","7.0%","36.8%","31.0%","135","82","3.15","88.7","52","16162"
"Chris Martin","- - -","60","0","56.0","2","51","13.3%","77.8%","8.3%","41.4%","29.0%","145","27","2.55","88.2","19","11847"
"Dillon Tate","BAL","67","0","73.2","5","86","10.6%","64.7%","5.3%","37.8%","29.6%","92","68","3.15","87.1","25","17796"
"Tanner Banks","CHW","35","0","53.0","0","91","8.9%","68.2%","7.4%","40.9%","27.0%","102","103","4.08","88.1","18","16990"
"Steven Wilson","SDP","50","1","53.0","1","116","12.7%","61.2%","7.2%","35.5%","28.8%","110","113","2.83","87.6","18","20353"
"Jacob deGrom","NYM","11","11","64.1","0","39","21.1%","69.9%","9.3%","31.8%","35.4%","189","40","2.24","89.3","22","10954"
"Sonny Gray","MIN","24","24","119.2","0","93","9.2%","60.5%","5.5%","39.2%","29.4%","108","92","3.67","88.1","41","12768"
"Huascar Brazoban","MIA","27","0","32.0","0","98","17.0%","55.3%","5.1%","26.9%","29.8%","125","180","3.62","83.2","11","6107"
"Andrew Heaney","LAD","16","14","72.2","0","71","16.8%","67.7%","11.0%","47.7%","32.5%","157","74","3.39","91.2","25","15423"
"Yu Darvish","SDP","30","30","194.2","0","90","11.4%","64.2%","9.0%","37.0%","29.6%","113","58","3.49","88.5","67","13074"
"Yimi Garcia","TOR","61","0","61.0","1","104","10.5%","61.5%","6.5%","33.1%","26.9%","106","81","2.90","86.5","21","12095"
"Adrian Sampson","CHC","21","19","104.1","0","110","9.3%","57.7%","6.7%","35.9%","23.6%","75","76","4.40","87.9","36","13339"
"Javier Assad","CHC","9","8","37.2","0","123","10.1%","59.6%","5.2%","33.6%","25.1%","80","145","4.49","87.5","13","21741"
"A.J. Puk","OAK","62","0","66.1","4","93","12.9%","60.9%","8.7%","34.9%","30.8%","122","102","3.70","86.9","23","19343"
"Clarke Schmidt","NYY","29","3","57.2","2","100","11.9%","58.1%","9.7%","37.4%","30.4%","107","121","3.51","89.1","20","19899"
"Brandon Hughes","CHC","57","0","57.2","8","95","15.0%","66.9%","11.1%","37.5%","30.6%","126","106","3.86","88.8","20","23460"
"Tim Mayza","TOR","63","0","48.2","2","74","9.4%","62.2%","7.4%","39.0%","27.9%","103","77","4.17","88.6","17","15042"
"Tanner Houck","BOS","32","4","60.0","8","93","12.9%","51.4%","4.9%","39.3%","28.6%","102","111","3.86","89.7","21","19879"
"Andrew Kittredge","TBR","17","0","20.0","5","96","13.3%","70.7%","8.5%","35.6%","26.6%","84","33","2.94","88.4","7","12828"
"Wade Miley","CHC","9","8","37.0","0","110","10.6%","66.0%","5.2%","35.7%","29.2%","78","106","3.86","86.7","13","8779"
"Bryce Elder","ATL","10","9","54.0","0","104","9.9%","55.9%","5.8%","34.4%","26.2%","92","122","4.25","88.2","19","27779"
"Andre Pallante","STL","47","10","108.0","0","93","7.4%","60.0%","3.2%","42.0%","24.5%","71","106","3.78","89.4","38","26108"
"Luis Severino","NYY","19","19","102.0","0","86","12.3%","64.0%","6.9%","41.3%","28.1%","124","92","2.94","89.4","36","15890"
"Justin Steele","CHC","24","24","119.0","0","87","10.1%","59.8%","3.9%","33.3%","26.0%","109","118","3.59","87.2","42","17312"
"John Brebbia","SFG","76","11","68.0","0","112","11.2%","68.8%","6.5%","38.6%","26.1%","83","75","3.49","87.8","24","12777"
"Jose Alvarado","PHI","59","0","51.0","2","55","16.9%","60.7%","6.5%","33.3%","32.3%","167","135","2.53","87.2","18","17780"
"Kendall Graveman","CHW","65","0","65.0","6","87","11.2%","60.0%","4.2%","34.7%","29.3%","104","114","3.51","88.1","23","15514"
"Kyle Wright","ATL","30","30","180.1","0","83","11.9%","64.6%","6.8%","41.0%","29.7%","104","87","3.89","89.0","64","19665"
"Keegan Akin","BAL","45","1","81.2","2","84","12.0%","63.2%","6.5%","36.8%","29.0%","105","76","3.62","87.8","29","19362"
"Logan Gilbert","SEA","32","32","185.2","0","96","10.8%","63.7%","7.1%","45.6%","25.1%","102","80","4.11","91.0","66","22250"
"Trevor Williams","NYM","30","9","89.2","1","99","10.2%","68.3%","7.7%","36.8%","24.9%","100","75","3.67","87.8","32","16977"
"Bailey Ober","MIN","11","11","56.0","0","106","13.3%","67.8%","11.7%","36.8%","27.3%","101","60","4.71","90.1","20","21224"
"Johan Oviedo","- - -","21","8","56.0","0","104","11.2%","59.9%","6.2%","37.7%","27.7%","99","115","3.17","87.3","20","22487"
"Andrew Wantz","LAA","42","1","50.1","0","111","13.1%","55.9%","10.9%","34.9%","28.8%","115","128","3.89","87.8","18","24933"
"Brady Singer","KCR","27","24","153.1","0","83","9.3%","60.1%","8.2%","40.9%","30.3%","109","70","3.97","89.3","55","25377"
"Dean Kremer","BAL","22","21","125.1","0","112","10.1%","65.2%","7.3%","38.9%","25.2%","76","83","4.46","88.4","45","19350"
"Joel Payamps","- - -","41","0","55.2","0","103","9.7%","52.7%","7.7%","43.4%","24.7%","77","83","3.86","89.0","20","14332"
"Aaron Nola","PHI","32","32","205.0","0","70","12.6%","70.1%","7.1%","31.6%","32.4%","129","43","2.74","87.7","74","16149"
"Jimmy Lambert","CHW","42","2","47.0","0","117","11.5%","61.8%","4.5%","32.1%","26.9%","99","147","3.05","86.6","17","19541"
"Albert Abreu","- - -","33","0","38.2","0","109","10.2%","56.4%","5.5%","35.8%","27.7%","99","159","4.40","87.6","14","17485"
"Brusdar Graterol","LAD","46","1","49.2","4","78","10.4%","66.0%","4.3%","25.5%","25.6%","97","61","2.47","85.5","18","20367"
"Connor Brogdon","PHI","47","0","44.0","2","87","15.6%","66.0%","6.3%","29.4%","30.3%","118","71","3.17","87.4","16","21205"
"Gregory Soto","DET","64","0","60.1","30","117","11.2%","56.7%","6.2%","43.2%","26.0%","103","161","4.08","91.4","22","19677"
"Miles Mikolas","STL","33","32","202.1","0","95","8.2%","63.4%","6.9%","35.7%","26.0%","84","58","3.89","87.8","74","9803"
"Tanner Rainey","WSN","29","0","30.0","12","100","16.1%","56.3%","10.1%","43.0%","28.4%","124","122","3.97","89.4","11","17610"
"Andrew Bellatti","PHI","59","1","54.1","2","85","16.2%","55.7%","12.7%","35.7%","30.4%","150","131","3.64","88.3","20","10657"
"Jesus Luzardo","MIA","18","18","100.1","0","78","13.8%","65.3%","6.6%","39.1%","31.0%","133","106","3.39","89.0","37","19959"
"Michael Wacha","BOS","23","23","127.1","0","101","9.5%","60.8%","9.6%","35.4%","24.7%","91","75","4.56","88.2","47","14078"
"Domingo Acevedo","OAK","70","0","67.2","4","98","15.8%","59.0%","7.4%","32.4%","27.9%","98","80","3.46","86.7","25","17092"
"Drew Smith","NYM","44","0","46.0","0","93","13.8%","57.2%","11.8%","50.4%","29.0%","125","97","3.78","90.1","17","17755"
"Andres Machado","WSN","51","0","59.1","0","114","10.9%","60.9%","8.6%","42.2%","26.1%","78","120","5.31","89.5","22","14681"
"Ralph Garza","TBR","19","0","35.0","0","135","8.4%","68.6%","6.8%","38.1%","25.9%","50","130","5.63","87.3","13","17682"
"Kevin Gausman","TOR","31","31","174.2","0","69","15.5%","68.0%","8.1%","38.5%","29.8%","127","48","3.34","89.0","65","14107"
"Johnny Cueto","CHW","25","24","158.1","0","111","7.7%","66.7%","7.3%","35.9%","23.3%","71","63","4.02","87.7","59","6893"
"Griffin Jax","MIN","65","0","72.1","1","84","13.2%","64.5%","6.9%","37.0%","32.0%","121","86","3.17","88.1","27","20253"
"Merrill Kelly","ARI","33","33","200.1","0","97","9.7%","62.3%","8.3%","36.3%","26.7%","97","92","3.62","88.5","75","11156"
"Blake Snell","SDP","24","24","128.0","0","81","14.7%","64.7%","7.4%","38.9%","29.0%","141","115","3.19","90.1","48","13543"
"Kenley Jansen","ATL","65","0","64.0","41","87","11.4%","68.5%","7.3%","32.5%","29.9%","145","102","2.34","87.1","24","3096"
"Eli Morgan","CLE","50","1","66.2","0","90","11.8%","70.3%","8.9%","34.9%","27.9%","127","63","2.90","87.8","25","20203"
"Jeff Brigham","MIA","16","0","24.0","1","97","11.9%","63.4%","6.3%","33.3%","29.6%","123","119","3.94","89.5","9","16631"
"Kevin Ginkel","ARI","30","0","29.1","1","90","11.7%","66.9%","4.9%","32.9%","31.3%","107","107","2.90","89.0","11","19876"
"Mychal Givens","- - -","59","1","61.1","2","92","10.7%","57.3%","8.2%","37.7%","28.6%","121","116","3.70","87.6","23","10430"
"Cal Quantrill","CLE","32","32","186.1","0","111","8.2%","63.9%","7.5%","35.6%","23.8%","75","76","4.31","87.6","70","19312"
"George Kirby","SEA","25","25","130.0","0","84","9.7%","67.7%","8.6%","38.0%","25.9%","110","51","3.31","89.3","49","25436"
"Michael Fulmer","- - -","67","0","63.2","3","113","12.1%","54.3%","4.4%","36.8%","27.5%","99","126","3.78","88.3","24","13218"
