name,team,position,adp,olinerank,sosrank,playerscore
Xavier Worthy,KC,WR39,89,4,13,106
Dalton Kincaid,BUF,TE5,67,16,24,107
George Pickens,PIT,WR27,51,26,31,108
Jordan Love,GB,QB10,74,15,23,112
Rhamondre Stevenson,NE,RB20,62,24,27,113
Hollywood Brown,KC,WR42,96,4,13,113
Brock Purdy,SF,QB11,85,9,19,113
Caleb Williams,CHI,QB13,97,14,3,114
Zamir White,LV,RB22,71,20,24,115
Calvin Ridley,TEN,WR36,72,25,18,115
Jayden Reed,GB,WR37,79,15,23,117
Brian Robinson Jr,WAS,RB28,83,20,14,117
Zack Moss,CIN,RB32,95,12,11,118
Tua Tagovailoa,MIA,QB14,98,14,7,119
Rome Odunze,CHI,WR45,103,14,3,120
Dallas Goedert,PHI,TE12,108,2,10,120
Ladd McConkey,LAC,WR43,100,17,3,120
Jayden Daniels,WAS,QB12,86,20,14,120
Jake Ferguson,DAL,TE9,91,11,20,122
Tony Pollard,TEN,RB27,81,25,18,124
Javonte Williams,DEN,RB29,84,22,19,125
Jared Goff,DET,QB15,102,2,21,125
Christian Watson,GB,WR38,88,15,23,126
Evan Engram,JAC,TE8,82,26,19,127
Jonathon Brooks,CAR,RB33,99,21,7,127
Chase Brown,CIN,RB34,105,12,11,128
Najee Harris,PIT,RB23,73,26,31,130
Jaxon SmithNjigba,SEA,WR41,92,27,11,130
Gus Edwards,LAC,RB36,111,17,3,131
Kirk Cousins,ATL,QB18,120,10,1,131
DeAndre Hopkins,TEN,WR40,90,25,18,133
Jordan Addison,MIN,WR46,104,9,21,134
David Njoku,CLE,TE10,94,9,31,134
Jameson Williams,DET,WR48,112,2,21,135
Devin Singletary,NYG,RB30,87,26,23,136
Tyjae Spears,TEN,RB31,93,25,18,136
Jaylen Warren,PIT,RB26,80,26,31,137
Justin Herbert,LAC,QB17,118,17,3,138
Courtland Sutton,DEN,WR44,101,22,19,142
Austin Ekeler,WAS,RB35,109,20,14,143
Ezekiel Elliott,DAL,RB37,113,11,20,144
Joshua Palmer,LAC,WR53,124,17,3,144
Trevor Lawrence,JAC,QB16,106,26,19,151
Brock Bowers,LV,TE11,107,20,24,151
Tyler Lockett,SEA,WR49,114,27,11,152
Rashid Shaheed,NO,WR54,125,25,3,153
Blake Corum,LAR,RB40,126,9,19,154
Tyler Allgeier,ATL,RB46,143,10,1,154
Jerome Ford,CLE,RB38,115,9,31,155
Brian Thomas Jr,JAC,WR47,110,26,19,155
Matthew Stafford,LAR,QB19,127,9,19,155
Keon Coleman,BUF,WR50,116,16,24,156
Cole Kmet,CHI,TE16,139,14,3,156
Nick Chubb,CLE,RB39,119,9,31,159
Mike Williams,NYJ,WR58,135,13,11,159
Chuba Hubbard,CAR,RB43,131,21,7,159
Josh Downs,IND,WR60,141,10,9,160
Aaron Rodgers,NYJ,QB20,137,13,11,161
Curtis Samuel,BUF,WR52,122,16,24,162
Brandin Cooks,DAL,WR56,132,11,20,163
JK Dobbins,LAC,RB47,144,17,3,164
Trey Benson,ARI,RB42,130,23,12,165
Jakobi Meyers,LV,WR51,121,20,24,165
Rico Dowdle,DAL,RB44,134,11,20,165
Zach Charbonnet,SEA,RB41,128,27,11,166
TJ Hockenson,MIN,TE15,136,9,21,166
Romeo Doubs,GB,WR55,129,15,23,167
Ty Chandler,MIN,RB45,138,9,21,168
Dalton Schultz,HOU,TE14,123,19,27,169
Khalil Herbert,CHI,RB50,154,14,3,171
Darnell Mooney,ATL,WR68,161,10,1,172
Khalil Shakir,BUF,WR57,133,16,24,173
Pat Freiermuth,PIT,TE13,117,26,31,174
Adonai Mitchell,IND,WR66,158,10,9,177
Baker Mayfield,TB,QB21,145,26,8,179
Jerry Jeudy,CLE,WR59,140,9,31,180
Luke Musgrave,GB,TE17,142,15,23,180
Geno Smith,SEA,QB22,146,27,11,184
Adam Thielen,CAR,WR65,157,21,7,185
Jahan Dotson,WAS,WR62,152,20,14,186
Deshaun Watson,CLE,QB23,147,9,31,187
Tyler Conklin,NYJ,TE19,164,13,11,188
Roschon Johnson,CHI,RB55,171,14,3,188
Jaleel McLaughlin,DEN,RB48,148,22,19,189
Jaylen Wright,MIA,RB54,169,14,7,190
Kendre Miller,NO,RB52,162,25,3,190
Dontayvion Wicks,GB,WR63,153,15,23,191
Gabe Davis,JAC,WR61,149,26,19,194
Taysom Hill,NO,TE20,166,25,3,194
Michael Wilson,ARI,WR67,160,23,12,195
MarShawn Lloyd,GB,RB51,159,15,23,197
Will Levis,TEN,QB24,155,25,18,198
Xavier Legette,CAR,WR71,172,21,7,200
Jermaine Burton,CIN,WR74,177,12,11,200
Hunter Henry,NE,TE18,150,24,27,201
Derek Carr,NO,QB26,173,25,3,201
Antonio Gibson,NE,RB49,151,24,27,202
Braelon Allen,NYJ,RB56,179,13,11,203
Cade Otton,TB,TE21,170,26,8,204
Ray Davis,BUF,RB53,165,16,24,205
DeMario Douglas,NE,WR64,156,24,27,207
Bryce Young,CAR,QB27,181,21,7,209
Demarcus Robinson,LAR,WR75,182,9,19,210
San Francisco 49ers,SF,DST2,183,9,19,211
New York Jets,NYJ,DST3,188,13,11,212
Elijah Mitchell,SF,RB58,184,9,19,212
Bucky Irving,TB,RB57,180,26,8,214
Rashod Bateman,BAL,WR70,168,16,30,214
Kansas City Chiefs,KC,DST6,197,4,13,214
Noah Fant,SEA,TE22,176,27,11,214
Quentin Johnston,LAC,WR77,194,17,3,214
JaLynn Polk,NE,WR69,163,24,27,214
Marvin Mims Jr,DEN,WR72,174,22,19,215
Daniel Jones,NYG,QB25,167,26,23,216
Ricky Pearsall,SF,WR76,189,9,19,217
Juwan Johnson,NO,TE25,190,25,3,218
Philadelphia Eagles,PHI,DST9,208,2,10,220
Harrison Butker,KC,K3,204,4,13,221
Dallas Cowboys,DAL,DST4,191,11,20,222
Baltimore Ravens,BAL,DST1,178,16,30,224
WanDale Robinson,NYG,WR73,175,26,23,224
Jason Sanders,MIA,K4,206,14,7,227
Ben Sinnott,WAS,TE26,193,20,14,227
Jake Elliott,PHI,K6,216,2,10,228
Chigoziem Okonkwo,TEN,TE24,186,25,18,229
Sam Darnold,MIN,QB29,200,9,21,230
Isaiah Likely,BAL,TE23,185,16,30,231
Brandon Aubrey,DAL,K2,201,11,20,232
Younghoe Koo,ATL,K9,221,10,1,232
Cleveland Browns,CLE,DST5,192,9,31,232
Dameon Pierce,HOU,RB59,187,19,27,233
Miami Dolphins,MIA,DST11,212,14,7,233
New Orleans Saints,NO,DST10,209,25,3,237
Clyde EdwardsHelaire,KC,RB64,224,4,13,241
Justin Tucker,BAL,K1,196,16,30,242
Jake Moody,SF,K5,215,9,19,243
Buffalo Bills,BUF,DST8,203,16,24,243
Audric Estime,DEN,RB60,202,22,19,243
Kenneth Gainwell,PHI,RB67,232,2,10,244
Mike Gesicki,CIN,TE27,222,12,11,245
Javon Baker,NE,WR78,195,24,27,246
Chicago Bears,CHI,DST13,231,14,3,248
Alexander Mattison,LV,RB61,205,20,24,249
DOnta Foreman,CLE,RB62,210,9,31,250
Evan McPherson,CIN,K10,229,12,11,252
Elijah Moore,CLE,WR81,214,9,31,254
Tyler Boyd,TEN,WR80,211,25,18,254
Russell Wilson,PIT,QB28,198,26,31,255
Kimani Vidal,LAC,RB70,236,17,3,256
Pittsburgh Steelers,PIT,DST7,199,26,31,256
Darius Slayton,NYG,WR79,207,26,23,256
Matt Gay,IND,K11,238,10,9,257
Bo Nix,DEN,QB30,217,22,19,258
Indianapolis Colts,IND,DST14,240,10,9,259
Houston Texans,HOU,DST12,213,19,27,259
Tyler Bass,BUF,K8,220,16,24,260
Malachi Corley,NYJ,WR86,237,13,11,261
Odell Beckham Jr,MIA,WR88,241,14,7,262
Tucker Kraft,GB,TE28,225,15,23,263
DJ Chark Jr,LAC,WR89,243,17,3,263
Jalen McMillan,TB,WR84,230,26,8,264
Kaimi Fairbairn,HOU,K7,218,19,27,264
Cameron Dicker,LAC,K12,244,17,3,264
AJ Dillon,GB,RB65,227,15,23,265
Will Shipley,PHI,RB73,254,2,10,266
Andrei Iosivas,CIN,WR90,245,12,11,268
Cairo Santos,CHI,K14,251,14,3,268
