player_name,MLBAMID,P_THROWS,Pitches,Appearances,STUFFplus,LOCATIONplus,PITCHINGplus
Trevor Williams,592866,R,1405,30,90.8,104.3,99.6
Tyler Clippard,461325,R,113,4,90.8,85.4,82
Chase Anderson,502624,R,493,9,90.7,96.1,94
Matthew Boyd,571510,L,200,11,90.7,94.3,93.2
Dylan Bundy,605164,R,2180,29,90.6,105.9,101.8
Casey Mize,663554,R,169,2,90.5,98.5,97.3
Cole Ragans,666142,L,706,9,90.5,97.5,95.3
Paolo Espino,502179,R,1868,42,90.5,101.5,101.9
Cooper Criswell,681867,R,45,1,90.4,113.2,114.1
Jimmy Yacabonis,642231,R,292,14,90.4,94.7,97.5
JT Brubaker,664141,R,2378,28,90.4,101.5,98.1
Bailey Ober,641927,R,854,11,90.2,103.8,99.7
Collin Snider,676092,R,581,42,90.2,95.2,95.1
Wyatt Mills,670090,R,503,27,90.2,92.6,96.5
Miles Mikolas,571945,R,3203,34,90.1,106.3,100.8
Ronny Henriquez,678692,R,181,3,90.1,91.7,86.6
A.J. Ladwig,607609,R,41,1,90,103.4,98.3
Adrian Houser,605288,R,1846,22,90,100.1,98.2
Cal Quantrill,615698,R,3064,34,90,100.6,95.6
Brandon Bielak,656232,R,226,5,89.9,99.1,95.2
Chad Kuhl,641771,R,2370,27,89.9,95.3,93
Connor Sadzeck,592712,R,48,2,89.8,86.1,90.3
Elieser Hernandez,622694,R,1092,20,89.8,102.1,98.6
Jake Woodford,663765,R,697,27,89.7,103.7,99.2
Jose Suarez,660761,L,1780,22,89.7,102.9,100.9
Mark Leiter Jr.,643410,R,1086,35,89.7,96.1,93.2
Gabe Speier,642100,L,298,17,89.6,97.1,96.5
Caleb Kilian,668873,R,235,3,89.5,91,91.6
Cory Abbott,676265,R,841,16,89.4,97.3,95.1
Devin Smeltzer,656970,L,1129,15,89.4,97.2,96
Adam Oller,670124,R,1283,19,89.3,98.5,93.9
Austin Brice,592169,R,106,4,89.3,96.1,99.4
Amir Garrett,607237,L,804,60,89.1,91.9,91.2
Roenis Elias,606273,L,114,7,89.1,102.6,101.3
Foster Griffin,656492,L,111,6,89,88.1,89.2
Justin Dunn,643290,R,468,6,88.9,90.1,89.6
Adam Kolarek,592473,L,318,15,88.8,93.4,93.8
Anthony Banda,607455,L,551,32,88.8,99.2,95.2
Jake Brentz,641394,L,159,8,88.8,77.9,82.4
Jose Urena,570632,R,1622,21,88.8,98.6,94.7
Phillips Valdez,570488,R,287,13,88.8,93.8,92.9
Logan Allen,663531,L,164,7,88.7,89.9,91.7
Silvino Bracho,611093,R,65,3,88.7,97.4,92.3
Andre Jackson,656578,R,156,4,88.6,99.4,96.3
Daulton Jefferies,641726,R,609,8,88.6,103.2,98
Sean Manaea,640455,L,2514,31,88.6,101.6,98.2
Jackson Stephens,623451,R,970,40,88.5,105.1,98.4
