"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Derek Carr","QB","NO","3","164","55","81","4","0","57","57","31.4","19.1"
"George Pickens","WR","PIT","3","157","52","88","0","15","8","15","29.8","19.0"
"Melvin Gordon III","RB","BAL","1","29","29","40","34","7","41","41","5.5","19.0"
"Matthew Stafford","QB","LAR","2","161","81","100","4","0","62","62","30.5","18.9"
"Dak Prescott","QB","DAL","3","219","73","97","5","0","51","51","41.3","18.9"
"Chris Olave","WR","NO","3","161","54","79","0","20","14","20","30.2","18.8"
"Miles Sanders","RB","CAR","3","132","44","61","31","15","40","46","24.7","18.7"
"Mike Williams","WR","LAC","3","167","56","78","1","16","12","16","31.2","18.7"
"Garrett Wilson","WR","NYJ","3","154","51","94","0","14","8","14","28.5","18.5"
"Amari Cooper","WR","CLE","3","166","55","72","0","15","10","15","30.3","18.3"
"Desmond Ridder","QB","ATL","3","201","67","100","6","0","51","51","36.6","18.2"
"Adam Thielen","WR","CAR","3","193","64","89","0","13","10","13","35.1","18.2"
"Jaylen Waddle","WR","MIA","2","89","45","68","1","12","10","13","16.2","18.2"
"DK Metcalf","WR","SEA","3","162","54","82","0","12","9","12","29.4","18.1"
"Kenneth Gainwell","RB","PHI","1","41","41","62","34","10","44","44","7.4","18.0"
"Khalil Herbert","RB","CHI","3","87","29","49","26","11","33","38","15.7","18.0"
"Diontae Johnson","WR","PIT","1","27","27","43","0","22","11","22","4.8","17.8"
"Amon-Ra St. Brown","WR","DET","3","181","60","88","1","15","12","16","31.9","17.6"
"Ryan Tannehill","QB","TEN","3","174","58","99","2","0","50","50","30.6","17.6"
"Joe Burrow","QB","CIN","2","112","56","96","2","0","66","66","19.6","17.5"
"Jameis Winston","QB","NO","1","23","23","38","0","0","70","70","4.0","17.4"
"Kendrick Bourne","WR","NE","3","151","50","67","0","17","9","17","25.9","17.2"
"Marquise Brown","WR","ARI","3","171","57","91","1","13","9","13","29.2","17.1"
"Justin Watson","WR","KC","3","81","27","39","0","15","9","15","13.8","17.0"
"Rhamondre Stevenson","RB","NE","3","159","53","70","29","8","35","37","27.1","17.0"
"Bryce Young","QB","CAR","2","136","68","99","4","0","56","56","23.0","16.9"
"Zach Wilson","QB","NYJ","3","160","53","98","6","0","59","59","27.0","16.9"
"T.J. Hockenson","TE","MIN","3","171","57","84","0","16","13","16","27.9","16.3"
"Kendre Miller","RB","NO","1","21","21","34","43","5","48","48","3.4","16.2"
"Chuba Hubbard","RB","CAR","3","77","26","36","16","13","27","29","12.3","16.0"
"Ezekiel Elliott","RB","NE","3","77","26","34","36","10","44","47","12.3","16.0"
"CeeDee Lamb","WR","DAL","3","176","59","78","1","14","12","15","28.2","16.0"
"Alexander Mattison","RB","MIN","3","157","52","77","25","11","32","36","24.8","15.8"
"Gabe Davis","WR","BUF","3","175","58","81","1","9","6","9","27.7","15.8"
"Samaje Perine","RB","DEN","3","81","27","42","15","14","26","28","12.6","15.6"
"Rondale Moore","WR","ARI","3","117","39","62","4","9","11","13","18.1","15.5"
"Courtland Sutton","WR","DEN","3","173","58","90","0","13","10","13","26.9","15.5"
"Trey Palmer","WR","TB","2","58","29","42","0","9","5","9","8.8","15.2"
"Nick Westbrook-Ikhine","WR","TEN","2","95","48","74","0","11","7","11","14.3","15.1"
"Sam LaPorta","TE","DET","3","164","55","80","0","13","11","13","24.6","15.0"
"Najee Harris","RB","PIT","3","95","32","53","37","6","40","43","14.1","14.8"
"Josh Jacobs","RB","LV","3","135","45","79","33","10","41","44","20.0","14.8"
"Christian Kirk","WR","JAC","3","159","53","76","0","14","11","15","23.3","14.7"
"Joshua Kelley","RB","LAC","3","141","47","66","28","2","29","30","20.7","14.7"
"Calvin Austin III","WR","PIT","3","121","40","68","1","13","8","14","17.7","14.6"
"Tyler Lockett","WR","SEA","3","168","56","85","0","13","8","13","24.3","14.5"
"Tutu Atwell","WR","LAR","2","139","70","86","1","12","10","13","20.1","14.5"
"Ronnie Bell","WR","SF","2","58","29","41","0","3","3","3","8.4","14.5"
"DJ Chark Jr.","WR","CAR","2","111","56","80","0","11","5","11","16.1","14.5"
"Logan Thomas","TE","WAS","2","87","44","60","0","13","7","13","12.5","14.4"
"Josh Oliver","TE","MIN","3","77","26","38","0","10","9","10","10.9","14.2"
"Jake Bobo","WR","SEA","2","49","25","33","0","6","4","6","6.8","13.9"
"Michael Pittman Jr.","WR","IND","3","210","70","99","0","16","12","16","29.0","13.8"
"DJ Moore","WR","CHI","3","167","56","94","0","9","7","9","23.0","13.8"
"Calvin Ridley","WR","JAC","3","170","57","81","0","15","8","15","23.3","13.7"
"Zach Charbonnet","RB","SEA","3","63","21","32","25","6","30","32","8.6","13.7"
"Pat Freiermuth","TE","PIT","3","122","41","68","0","7","4","7","16.6","13.6"
"Skyy Moore","WR","KC","3","134","45","64","1","10","6","10","17.6","13.1"
"Michael Wilson","WR","ARI","3","125","42","66","0","7","6","7","16.1","12.9"
"Hunter Henry","TE","NE","3","193","64","85","0","9","7","9","24.5","12.7"
"AJ Dillon","RB","GB","3","104","35","55","38","4","40","41","13.2","12.7"
"Dontayvion Wicks","WR","GB","3","114","38","60","0","11","5","11","14.5","12.7"
"Devin Singletary","RB","HOU","3","68","23","31","29","4","34","34","8.4","12.4"
"DeAndre Hopkins","WR","TEN","3","123","41","70","0","20","11","20","15.3","12.4"
"Luke Schoonmaker","TE","DAL","2","50","25","30","0","4","2","4","6.1","12.2"
"Jamaal Williams","RB","NO","2","67","34","47","40","3","43","43","8.1","12.1"
"Noah Fant","TE","SEA","2","81","41","55","0","11","10","11","9.7","12.0"
"Mark Andrews","TE","BAL","2","118","59","80","0","11","8","11","14.0","11.9"
"Terry McLaurin","WR","WAS","3","161","54","81","0","10","8","10","18.6","11.6"
"K.J. Osborn","WR","MIN","3","190","63","93","0","8","4","8","22.1","11.6"
"Zay Flowers","WR","BAL","3","179","60","85","2","14","14","16","20.5","11.5"
"Darnell Mooney","WR","CHI","2","98","49","78","0","8","4","8","11.3","11.5"
"Jerry Jeudy","WR","DEN","2","92","46","72","0","13","9","13","10.6","11.5"
"Cole Turner","TE","WAS","3","64","21","32","0","17","11","17","7.3","11.4"
"D'Onta Foreman","RB","CHI","1","21","21","28","24","14","33","38","2.4","11.4"
"Lil'Jordan Humphrey","WR","DEN","2","66","33","51","0","6","5","6","7.5","11.4"
"Evan Engram","TE","JAC","3","153","51","73","0","14","12","14","17.3","11.3"
"Curtis Samuel","WR","WAS","3","131","44","66","2","9","9","11","14.6","11.1"
"Braxton Berrios","WR","MIA","3","93","31","46","0","11","8","11","10.3","11.1"
"Stone Smartt","TE","LAC","1","22","22","32","0","5","5","5","2.4","10.9"
"Hayden Hurst","TE","CAR","3","122","41","56","0","11","7","11","13.2","10.8"
"Tyjae Spears","RB","TEN","3","85","28","48","18","12","26","29","9.2","10.8"
"Zay Jones","WR","JAC","2","106","53","77","0","12","5","12","11.5","10.8"
"Michael Thomas","WR","NO","3","158","53","78","0","16","11","16","16.6","10.5"
"Greg Dulcich","TE","DEN","1","21","21","33","0","10","10","10","2.2","10.5"
"Jauan Jennings","WR","SF","3","80","27","38","0","9","5","9","8.2","10.3"
"Kylen Granson","TE","IND","3","125","42","59","0","11","7","11","12.4","9.9"
"Chris Godwin","WR","TB","2","111","56","80","0","13","9","13","10.9","9.8"
"Will Dissly","TE","SEA","2","53","27","43","0","9","9","9","5.2","9.8"
"Robert Woods","WR","HOU","3","173","58","80","0","14","9","14","16.5","9.5"
"Joshua Palmer","WR","LAC","3","129","43","60","0","10","6","10","12.3","9.5"
"Darren Waller","TE","NYG","3","140","47","74","0","14","9","14","13.2","9.4"
"Drake London","WR","ATL","3","176","59","88","0","9","5","9","15.8","9.0"
"Harrison Bryant","TE","CLE","3","78","26","34","3","5","5","8","6.9","8.8"
"Jake Ferguson","TE","DAL","3","150","50","66","0","12","7","12","13.0","8.7"
"Gerald Everett","TE","LAC","3","121","40","56","1","10","10","11","10.0","8.3"
"Austin Hooper","TE","LV","2","48","24","48","0","6","6","6","4.0","8.3"
"Isaiah Hodgins","WR","NYG","3","126","42","67","0","7","4","7","10.4","8.3"
"Mack Hollins","WR","ATL","3","139","46","69","0","10","5","10","11.4","8.2"
"George Kittle","TE","SF","3","171","57","82","0","11","8","11","13.9","8.1"
"A.J. Brown","WR","PHI","2","134","67","94","0","12","8","12","10.8","8.1"
"Treylon Burks","WR","TEN","3","135","45","77","1","10","5","10","10.8","8.0"
