"Name","Team","xERA","K-BB%","Barrel%","CSW%","Starting","Relieving","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"David Price","LAD","3.83","16.8%","7.4%","27.0%","","0.9","167","0","2","81","151","121","91","95","3184"
"Stephen Nogosek","NYM","3.89","14.7%","7.6%","23.3%","","-0.9","95","0","0","113","110","148","96","88","19545"
"Jeffrey Springs","TBR","3.27","20.6%","5.9%","29.8%","24.2","3.3","549","25","0","83","168","86","86","97","17677"
"Raisel Iglesias","- - -","3.10","26.0%","10.6%","32.6%","","14.6","246","0","17","76","202","67","77","97","17130"
"Max Fried","ATL","2.85","18.8%","4.0%","27.5%","44.8","","733","30","0","78","195","53","79","96","13743"
"Jimmy Herget","LAA","2.92","18.0%","6.5%","30.6%","1.2","13.6","266","1","9","88","147","48","73","85","17556"
"Andres Munoz","SEA","1.84","32.7%","5.3%","35.6%","","17.6","248","0","4","51","231","64","71","104","20373"
"Hunter Harvey","WSN","2.76","21.0%","5.0%","28.4%","","9.4","157","0","0","85","137","21","89","111","15507"
"Camilo Doval","SFG","2.90","17.5%","4.6%","29.6%","","11.4","286","0","27","77","98","48","97","101","21992"
"Jorge Lopez","- - -","3.31","13.8%","4.8%","29.7%","","7.7","298","0","23","93","84","47","94","93","14527"
"Scott Effross","- - -","2.51","20.5%","4.0%","31.2%","0.3","12.4","229","1","4","80","151","44","83","98","18384"
"Cristian Javier","HOU","2.43","24.3%","7.2%","28.3%","28.2","2.7","585","25","0","89","135","96","76","79","17606"
"Shane McClanahan","TBR","2.79","24.3%","6.4%","32.8%","32.4","","641","28","0","65","184","95","74","87","21483"
"Zac Gallen","ARI","3.17","20.3%","7.8%","27.8%","39.2","","714","31","0","83","150","67","71","81","19291"
"Clay Holmes","NYY","2.41","17.3%","1.8%","30.4%","","10.4","260","0","20","73","117","26","82","91","13649"
"Tyler Anderson","LAD","3.10","14.7%","4.9%","28.1%","34.1","2.5","707","28","0","103","140","64","78","88","12880"
"Wily Peralta","DET","4.14","4.8%","4.5%","25.4%","0.1","0.1","168","1","0","122","48","44","121","102","7738"
"Collin McHugh","ATL","3.05","22.4%","5.1%","28.7%","","13.2","272","0","0","82","196","59","73","91","7531"
"Jaime Barria","LAA","4.11","11.1%","10.0%","26.4%","-1.0","1.6","316","1","0","112","103","116","83","79","18356"
"David Bednar","PIT","3.22","25.2%","7.3%","31.5%","","13.8","210","0","19","71","158","63","88","108","19569"
"Chase De Jong","PIT","3.89","9.9%","8.5%","26.9%","","-2.0","293","0","1","124","72","114","89","76","15036"
"Spencer Strider","ATL","2.39","29.7%","6.1%","31.1%","36.0","6.9","528","20","0","58","165","43","78","100","27498"
"Lucas Luetge","NYY","3.57","17.1%","5.3%","28.5%","","8.1","251","0","2","100","127","58","111","124","8337"
"Paul Sewald","SEA","2.64","22.7%","9.4%","31.2%","","4.6","242","0","20","91","153","131","61","55","13892"
"Brooks Raley","TBR","2.79","21.0%","2.2%","30.1%","","8.8","219","0","6","83","147","47","77","89","10061"
"Trevor Stephan","CLE","2.34","24.0%","3.1%","31.5%","","16.2","267","0","3","71","165","39","94","118","19932"
"Jake Cousins","MIL","3.24","22.0%","7.1%","33.7%","","1.5","59","0","0","86","96","61","106","114","21620"
"Tyler Cyr","- - -","4.31","20.0%","9.1%","26.8%","","0.3","55","0","0","74","116","124","96","101","18421"
"Wandy Peralta","NYY","2.66","13.5%","4.4%","27.8%","","8.9","223","0","4","91","100","30","84","89","14295"
"Connor Overton","CIN","3.41","2.4%","3.0%","25.4%","6.1","0.1","124","4","0","124","47","25","76","70","18376"
"Eduard Bazardo","BOS","3.94","10.8%","6.3%","26.7%","","-2.1","65","0","0","121","99","205","78","63","20997"
"Reynaldo Lopez","CHW","2.92","20.5%","5.0%","29.3%","1.0","17.8","254","1","0","83","197","13","76","98","16400"
"Carl Edwards Jr.","WSN","3.31","12.1%","4.6%","27.0%","","1.4","256","0","2","102","82","105","96","89","13607"
"Zach Pop","- - -","3.36","13.4%","5.6%","25.0%","","4.6","157","0","0","87","228","42","91","109","20185"
"Dylan Coleman","KCR","3.78","11.8%","6.9%","28.5%","","3.6","289","0","0","111","69","61","99","86","22276"
"Brad Hand","PHI","4.40","7.6%","5.3%","28.8%","","2.7","198","0","5","122","61","36","104","93","9111"
"Adam Cimber","TOR","3.64","15.4%","5.1%","26.8%","","8.4","293","0","4","98","161","71","89","101","15288"
"Jalen Beeks","TBR","3.70","19.2%","8.3%","28.9%","2.0","3.3","250","7","2","82","115","96","93","98","17192"
"Liam Hendriks","CHW","2.59","29.4%","9.1%","32.8%","","14.9","235","0","37","66","192","101","83","103","3548"
"Framber Valdez","HOU","3.31","15.4%","5.8%","28.8%","40.3","","827","31","0","76","105","46","92","99","17295"
"Zack Wheeler","PHI","3.10","21.3%","7.7%","27.7%","37.4","","607","26","0","77","176","69","81","98","10310"
"Andrew Chafin","DET","2.92","19.8%","8.4%","30.0%","","8.7","243","0","3","83","127","73","93","101","12988"
"David Phelps","TOR","3.91","12.1%","5.2%","26.9%","-0.1","7.1","272","1","1","108","75","26","104","102","6316"
"Peter Strzelecki","MIL","3.39","16.9%","7.6%","30.6%","","4.2","148","0","1","95","98","47","96","99","21367"
"Jose Leclerc","TEX","3.17","16.7%","6.7%","29.8%","","5.1","198","0","7","111","93","88","90","85","14524"
"Drew Rasmussen","TBR","3.46","16.1%","6.6%","25.9%","26.8","","584","28","0","90","146","74","83","91","25385"
"Tommy Kahnle","LAD","2.39","23.9%","7.7%","29.9%","","-0.5","46","0","1","79","171","129","49","43","11384"
"Joe Mantiply","ARI","3.22","22.6%","4.0%","32.6%","","11.0","243","0","2","64","373","82","85","109","14857"
"Shane Bieber","CLE","3.51","20.5%","7.2%","31.4%","43.9","","791","31","0","75","199","75","83","100","19427"
"Carlos Rodon","SFG","2.64","26.1%","6.5%","30.6%","54.3","","710","31","0","73","167","55","80","100","16137"
"Martin Perez","TEX","3.59","12.2%","4.3%","27.2%","35.3","","821","32","0","96","88","47","100","103","6902"
"Logan Webb","SFG","3.59","14.5%","5.5%","29.3%","38.7","","787","32","0","83","122","47","91","100","17995"
"Patrick Sandoval","LAA","3.91","14.3%","5.7%","29.2%","33.9","","638","27","0","93","91","45","107","110","19447"
"Sam Moll","OAK","2.96","12.8%","5.2%","29.2%","","-0.3","187","0","0","103","76","96","101","88","14874"
"Erasmo Ramirez","WSN","3.49","13.5%","4.9%","26.1%","-2.1","5.4","347","2","0","99","160","104","84","91","10314"
"Mason Thompson","WSN","3.72","5.9%","3.9%","24.5%","","0.6","101","0","1","114","61","66","89","79","21850"
"Jose Quintana","- - -","3.86","13.3%","5.5%","25.3%","36.5","","679","32","0","93","107","39","95","103","11423"
"Joe Musgrove","SDP","3.27","19.2%","6.0%","30.8%","32.3","","740","30","0","87","161","99","85","95","12970"
"Jhonathan Diaz","LAA","4.84","1.5%","4.4%","22.9%","1.3","-0.3","66","3","0","127","33","55","120","95","20298"
"Corbin Burnes","MIL","3.05","24.1%","5.7%","32.1%","41.8","","797","33","0","72","175","93","75","89","19361"
"Nabil Crismatt","SDP","3.49","15.4%","5.2%","30.0%","0.5","7.0","280","1","0","87","108","61","92","96","17732"
"Brad Boxberger","MIL","3.44","15.3%","6.4%","30.7%","","7.0","268","0","1","102","92","77","96","96","10133"
"Triston McKenzie","CLE","3.54","19.7%","9.8%","27.6%","32.8","0.1","741","30","0","95","156","109","76","83","18000"
"Jonathan Hernandez","TEX","4.08","7.6%","4.7%","27.4%","","0.0","131","0","4","101","57","55","113","100","17464"
"Ryan Pressly","HOU","2.62","28.6%","5.8%","33.2%","","13.0","182","0","33","55","181","69","71","91","7005"
"Steven Okert","MIA","3.22","16.7%","5.6%","30.6%","","-1.0","221","0","0","104","89","111","91","78","13580"
"Penn Murfee","SEA","2.64","21.3%","5.1%","29.8%","0.5","6.1","272","1","0","91","153","84","76","85","25174"
"Luis Castillo","- - -","3.31","19.8%","6.8%","28.4%","33.5","","615","25","0","81","135","71","86","95","15689"
"Chad Green","NYY","3.24","17.7%","4.9%","26.6%","","3.0","62","0","1","105","116","56","96","105","15552"
"Seranthony Dominguez","PHI","3.36","18.8%","8.1%","27.2%","","9.4","207","0","9","82","102","64","89","92","19249"
"Zach Jackson","OAK","3.59","16.8%","10.0%","29.5%","","8.5","202","0","3","105","73","17","101","95","19493"
"Edward Cabrera","MIA","4.05","14.4%","8.6%","30.6%","3.0","","291","14","0","103","83","114","84","71","21690"
"Ross Stripling","TOR","3.57","17.0%","9.2%","27.5%","28.3","0.2","536","24","1","93","200","75","81","94","13273"
"Dylan Floro","MIA","3.05","15.0%","5.1%","28.2%","","6.5","220","0","10","90","117","61","92","99","13394"
"Joey Wentz","DET","3.62","10.4%","7.4%","24.1%","5.0","","135","7","0","116","75","51","88","80","19962"
"Enyel De Los Santos","CLE","3.91","20.5%","9.6%","28.9%","","9.4","215","0","1","80","130","47","85","98","18403"
"Giovanny Gallegos","STL","2.92","23.4%","9.0%","31.8%","","12.6","235","0","14","88","149","83","80","89","14986"
"Brandon Woodruff","MIL","3.15","23.9%","7.0%","31.0%","32.5","","620","27","0","79","166","96","84","98","16162"
"Chris Martin","- - -","2.55","30.7%","8.3%","29.0%","","15.1","225","0","2","51","543","87","77","108","11847"
"Dillon Tate","BAL","3.15","15.1%","5.3%","29.6%","","4.5","292","0","5","86","135","68","79","88","17796"
"Tanner Banks","CHW","4.08","14.3%","7.4%","27.0%","","2.5","217","0","0","91","98","79","90","90","16990"
"Steven Wilson","SDP","2.83","15.4%","7.2%","28.8%","0.6","2.1","214","1","1","116","93","108","83","76","20353"
"Phoenix Sanders","TBR","4.37","15.8%","9.5%","23.7%","","2.1","57","0","0","94","144","0","82","100","20541"
"Jacob deGrom","NYM","2.24","39.3%","9.3%","35.4%","19.2","","239","11","0","39","467","114","58","89","10954"
"Sonny Gray","MIN","3.67","16.6%","5.5%","29.4%","21.9","","488","24","0","93","117","77","90","97","12768"
"Huascar Brazoban","MIA","3.62","13.5%","5.1%","29.8%","","0.0","141","0","0","98","70","77","115","105","6107"
"Andrew Heaney","LAD","3.39","29.4%","11.0%","32.5%","8.0","2.4","310","14","0","71","212","157","85","100","15423"
"Yu Darvish","SDP","3.49","20.8%","9.0%","29.6%","38.8","","771","30","0","90","195","92","74","86","13074"
"Yimi Garcia","TOR","2.90","17.0%","6.5%","26.9%","","8.2","247","0","1","104","131","82","84","90","12095"
"Adrian Sampson","CHC","4.40","10.7%","6.7%","23.6%","12.9","0.9","428","19","0","110","92","78","96","99","13339"
"Javier Assad","CHC","4.49","6.0%","5.2%","25.1%","3.6","0.4","166","8","0","123","51","87","114","95","21741"
"Logan Gillaspie","BAL","5.53","9.5%","3.4%","26.0%","","0.6","74","0","0","113","120","48","106","114","22461"
"A.J. Puk","OAK","3.70","18.9%","8.7%","30.8%","","2.7","281","0","4","93","119","88","91","97","19343"
"Clarke Schmidt","NYY","3.51","14.0%","9.7%","30.4%","4.1","0.0","236","3","2","100","88","72","96","95","19899"
