"Name","Team","xERA","K-BB%","Barrel%","CSW%","Starting","Relieving","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Connor Overton","CIN","3.41","2.4%","3.0%","25.4%","6.1","0.1","124","4","0","124","47","25","76","70","18376"
"Reynaldo Lopez","CHW","2.92","20.5%","5.0%","29.3%","1.0","17.8","254","1","0","83","197","13","76","98","16400"
"Carl Edwards Jr.","WSN","3.31","12.1%","4.6%","27.0%","","1.4","256","0","2","102","82","105","96","89","13607"
"Zach Pop","- - -","3.36","13.4%","5.6%","25.0%","","4.6","157","0","0","87","228","42","91","109","20185"
"Dylan Coleman","KCR","3.78","11.8%","6.9%","28.5%","","3.6","289","0","0","111","69","61","99","86","22276"
"Brad Hand","PHI","4.40","7.6%","5.3%","28.8%","","2.7","198","0","5","122","61","36","104","93","9111"
"Adam Cimber","TOR","3.64","15.4%","5.1%","26.8%","","8.4","293","0","4","98","161","71","89","101","15288"
"Jalen Beeks","TBR","3.70","19.2%","8.3%","28.9%","2.0","3.3","250","7","2","82","115","96","93","98","17192"
"Liam Hendriks","CHW","2.59","29.4%","9.1%","32.8%","","14.9","235","0","37","66","192","101","83","103","3548"
"Framber Valdez","HOU","3.31","15.4%","5.8%","28.8%","40.3","","827","31","0","76","105","46","92","99","17295"
"Zack Wheeler","PHI","3.10","21.3%","7.7%","27.7%","37.4","","607","26","0","77","176","69","81","98","10310"
"Andrew Chafin","DET","2.92","19.8%","8.4%","30.0%","","8.7","243","0","3","83","127","73","93","101","12988"
"David Phelps","TOR","3.91","12.1%","5.2%","26.9%","-0.1","7.1","272","1","1","108","75","26","104","102","6316"
"Peter Strzelecki","MIL","3.39","16.9%","7.6%","30.6%","","4.2","148","0","1","95","98","47","96","99","21367"
"Jose Leclerc","TEX","3.17","16.7%","6.7%","29.8%","","5.1","198","0","7","111","93","88","90","85","14524"
"Drew Rasmussen","TBR","3.46","16.1%","6.6%","25.9%","26.8","","584","28","0","90","146","74","83","91","25385"
"Joe Mantiply","ARI","3.22","22.6%","4.0%","32.6%","","11.0","243","0","2","64","373","82","85","109","14857"
"Shane Bieber","CLE","3.51","20.5%","7.2%","31.4%","43.9","","791","31","0","75","199","75","83","100","19427"
