"Name","Team","PA","HR","SB","BABIP+","K%+","BB%+","ISO+","wRC+","Barrels","OPS","Barrel%","Off","EV","playerid"
"Giancarlo Stanton","NYY","37","4","0","92","182","102","236","149","4",".886","21.1%","1.8","93.2","4949"
"Hunter Dozier","KCR","28","1","0","127","113","45","174","142","2",".877","10.0%","0.9","91.6","15117"
"Kyle Isbel","KCR","28","1","0","142","129","90","129","142","0",".857","0.0%","0.1","85.5","21614"
"Ji Hwan Bae","PIT","37","0","3","140","72","65","59","140","0",".830","0.0%","2.6","83.2","23818"
"David Villar","SFG","37","3","0","103","131","32","171","141","2",".854","8.7%","1.8","92.4","24782"
"Luis Arraez","MIN","39","0","0","128","12","97","37","143","1",".827","2.9%","1.9","90.4","18568"
"Ryan Mountcastle","BAL","54","0","0","178","142","140","56","141","3",".824","9.7%","2.5","91.1","18373"
"Daniel Vogelbach","NYM","21","1","0","172","190","171","108","143","1",".825","11.1%","0.9","80.5","14130"
"Freddie Freeman","LAD","47","1","1","98","66","280","90","139","2",".814","6.9%","2.6","88.8","5361"
"Jake Fraley","CIN","36","2","1","120","123","133","121","129","2",".830","9.1%","1.6","80.5","19260"
"Rafael Devers","BOS","49","0","0","132","64","205","50","134","3",".829","8.8%","1.7","91.3","17350"
"Bobby Dalbec","BOS","13","1","0","148","173","0","155","134","1",".846","12.5%","0.5","97.2","19966"
"Jurickson Profar","SDP","52","1","0","143","94","69","81","140","1",".831","2.6%","2.2","87.1","10815"
"Eduardo Escobar","NYM","42","2","0","134","137","114","119","141","2",".831","8.0%","2.3","87.7","6153"
"Gleyber Torres","NYY","34","1","1","138","119","148","115","140","4",".865","19.0%","1.7","90.6","16997"
"Brandon Marsh","PHI","46","1","0","142","125","78","120","133","2",".836","6.7%","1.4","91.5","20202"
"Bo Bichette","TOR","50","0","2","164","90","50","28","138","2",".817","5.3%","2.4","92.0","19612"
"Cristian Pache","OAK","18","1","1","115","125","140","134","142","0",".820","0.0%","0.9","90.7","19948"
"Ty France","SEA","57","0","0","137","71","66","66","140","1",".817","2.3%","2.3","90.5","17982"
"Adley Rutschman","BAL","56","2","1","102","96","179","140","135","2",".815","5.6%","2.9","87.9","26288"
"Cody Bellinger","LAD","42","2","0","130","116","0","145","133","4",".860","12.9%","1.4","87.0","15998"
"Carlos Correa","MIN","47","1","0","145","115","80","91","136","3",".816","9.4%","1.5","90.0","14162"
"Christopher Morel","CHC","34","2","0","95","130","106","194","131","5",".836","23.8%","1.5","94.2","21897"
"David Peralta","TBR","30","0","0","162","135","126","54","138","0",".800","0.0%","1.4","89.9","2136"
"Eric Hosmer","BOS","5","0","0","138","0","0","0","127","0",".800","0.0%","0.1","92.3","3516"
"Tucker Barnhart","DET","23","0","0","129","59","164","35","133","1",".778","5.9%","0.7","92.0","10200"
"P.J. Higgins","CHC","23","0","0","125","115","312","38","127","0",".729","0.0%","0.6","88.1","18433"
"Oneil Cruz","PIT","53","0","3","129","58","135","41","126","4",".779","10.0%","2.4","88.5","21711"
