"Name","Team","PA","HR","SB","BABIP+","K%+","BB%+","ISO+","wRC+","Barrels","OPS","Barrel%","Off","EV","playerid"
"Jordan Weems","WSN","0","0","0","","","","","","",".000","","0.0","","13190"
"Michael Fulmer","MIN","0","0","0","","","","","","",".000","","0.0","","13218"
"Ross Stripling","TOR","0","0","0","","","","","","",".000","","0.0","","13273"
"Adrian Sampson","CHC","0","0","0","","","","","","",".000","","0.0","","13339"
"Luis Cessa","CIN","0","0","0","","","","","","",".000","","0.0","","13345"
"Hoby Milner","MIL","0","0","0","","","","","","",".000","","0.0","","13346"
"Steven Matz","STL","0","0","0","","","","","","",".000","","0.0","","13361"
"Dylan Floro","MIA","0","0","0","","","","","","",".000","","0.0","","13394"
"Sam Selman","OAK","0","0","0","","","","","","",".000","","0.0","","13397"
"Marcus Stroman","CHC","0","0","0","","","","","","",".000","","0.0","","13431"
"Pierce Johnson","SDP","0","0","0","","","","","","",".000","","0.0","","13435"
"Taylor Rogers","MIL","0","0","0","","","","","","",".000","","0.0","","13449"
"Daniel Norris","DET","0","0","0","","","","","","",".000","","0.0","","13475"
"Blake Snell","SDP","0","0","0","","","","","","",".000","","0.0","","13543"
"Robert Stephenson","PIT","0","0","0","","","","","","",".000","","0.0","","13594"
"Carl Edwards Jr.","WSN","0","0","0","","","","","","",".000","","0.0","","13607"
"Jakob Junis","SFG","0","0","0","","","","","","",".000","","0.0","","13619"
"Clay Holmes","NYY","0","0","0","","","","","","",".000","","0.0","","13649"
"Jharel Cotton","SFG","0","0","0","","","","","","",".000","","0.0","","13654"
"Joey Krehbiel","BAL","0","0","0","","","","","","",".000","","0.0","","13707"
"Max Fried","ATL","0","0","0","","","","","","",".000","","0.0","","13743"
"Chris Stratton","STL","0","0","0","","","","","","",".000","","0.0","","13761"
"JT Chargois","TBR","0","0","0","","","","","","",".000","","0.0","","13767"
"Zach Eflin","PHI","0","0","0","","","","","","",".000","","0.0","","13774"
"Matt Strahm","BOS","0","0","0","","","","","","",".000","","0.0","","13799"
"Paul Sewald","SEA","0","0","0","","","","","","",".000","","0.0","","13892"
"Chris Flexen","SEA","0","0","0","","","","","","",".000","","0.0","","13896"
"Brent Suter","MIL","0","0","0","","","","","","",".000","","0.0","","13942"
"Michael Wacha","BOS","0","0","0","","","","","","",".000","","0.0","","14078"
"Kevin Gausman","TOR","0","0","0","","","","","","",".000","","0.0","","14107"
"Lance McCullers Jr.","HOU","0","0","0","","","","","","",".000","","0.0","","14120"
"Jose Berrios","TOR","0","0","0","","","","","","",".000","","0.0","","14168"
"Josh Hader","SDP","0","0","0","","","","","","",".000","","0.0","","14212"
"Ty Blach","COL","0","0","0","","","","","","",".000","","0.0","","14361"
"Tyler Glasnow","TBR","0","0","0","","","","","","",".000","","0.0","","14374"
"Amir Garrett","KCR","0","0","0","","","","","","",".000","","0.0","","14375"
"Yunior Marte","SFG","0","0","0","","","","","","",".000","","0.0","","14416"
"Jackson Stephens","ATL","0","0","0","","","","","","",".000","","0.0","","14420"
"Jose Leclerc","TEX","0","0","0","","","","","","",".000","","0.0","","14524"
"Jorge Lopez","MIN","0","0","0","","","","","","",".000","","0.0","","14527"
"Carlos Estevez","COL","0","0","0","","","","","","",".000","","0.0","","14542"
"Jose Ruiz","CHW","0","0","0","","","","","","",".000","","0.0","","14552"
"Rowan Wick","CHC","0","0","0","","","","","","",".000","","0.0","","14646"
"Chi Chi Gonzalez","NYY","0","0","0","","","","","","",".000","","0.0","","14663"
"Duane Underwood Jr.","PIT","0","0","0","","","","","","",".000","","0.0","","14677"
"Andres Machado","WSN","0","0","0","","","","","","",".000","","0.0","","14681"
"Luis Perdomo","MIL","0","0","0","","","","","","",".000","","0.0","","14682"
"Edwin Diaz","NYM","0","0","0","","","","","","",".000","","0.0","","14710"
"Julio Urias","LAD","0","0","0","","","","","","",".000","","0.0","","14765"
"Emilio Pagan","MIN","0","0","0","","","","","","",".000","","0.0","","14771"
"Buck Farmer","CIN","0","0","0","","","","","","",".000","","0.0","","14814"
"Michael Lorenzen","LAA","0","0","0","","","","","","",".000","","0.0","","14843"
"Joe Mantiply","ARI","0","0","0","","","","","","",".000","","0.0","","14857"
"Caleb Smith","ARI","0","0","0","","","","","","",".000","","0.0","","14875"
"Jon Gray","TEX","0","0","0","","","","","","",".000","","0.0","","14916"
"Reyes Moronta","ARI","0","0","0","","","","","","",".000","","0.0","","14966"
"Chad Kuhl","COL","0","0","0","","","","","","",".000","","0.0","","14975"
"Giovanny Gallegos","STL","0","0","0","","","","","","",".000","","0.0","","14986"
"Scott Barlow","KCR","0","0","0","","","","","","",".000","","0.0","","14993"
"Kyle Finnegan","WSN","0","0","0","","","","","","",".000","","0.0","","15009"
"Chase De Jong","PIT","0","0","0","","","","","","",".000","","0.0","","15036"
"German Marquez","COL","0","0","0","","","","","","",".000","","0.0","","15038"
"Tim Mayza","TOR","0","0","0","","","","","","",".000","","0.0","","15042"
"Lou Trivino","NYY","0","0","0","","","","","","",".000","","0.0","","15043"
"Trevor Gott","MIL","0","0","0","","","","","","",".000","","0.0","","15046"
"Austin Voth","BAL","0","0","0","","","","","","",".000","","0.0","","15047"
"Silvino Bracho","ATL","0","0","0","","","","","","",".000","","0.0","","15051"
"Yency Almonte","LAD","0","0","0","","","","","","",".000","","0.0","","15068"
"Rob Zastryzny","LAA","0","0","0","","","","","","",".000","","0.0","","15094"
"Collin Wiles","OAK","0","0","0","","","","","","",".000","","0.0","","15106"
"Tyler Danish","BOS","0","0","0","","","","","","",".000","","0.0","","15126"
"Justin Topa","MIL","0","0","0","","","","","","",".000","","0.0","","15145"
"Jimmy Yacabonis","TBR","0","0","0","","","","","","",".000","","0.0","","15157"
"Adam Cimber","TOR","0","0","0","","","","","","",".000","","0.0","","15288"
"Austin Pruitt","OAK","0","0","0","","","","","","",".000","","0.0","","15290"
"Kevin Herget","TBR","0","0","0","","","","","","",".000","","0.0","","15369"
"Andrew Heaney","LAD","0","0","0","","","","","","",".000","","0.0","","15423"
"Matthew Boyd","SEA","0","0","0","","","","","","",".000","","0.0","","15440"
"Zack Weiss","LAA","0","0","0","","","","","","",".000","","0.0","","15444"
"Mike Mayers","LAA","0","0","0","","","","","","",".000","","0.0","","15451"
"Nick Pivetta","BOS","0","0","0","","","","","","",".000","","0.0","","15454"
"Marco Gonzales","SEA","0","0","0","","","","","","",".000","","0.0","","15467"
"Lucas Giolito","CHW","0","0","0","","","","","","",".000","","0.0","","15474"
"Hunter Harvey","WSN","0","0","0","","","","","","",".000","","0.0","","15507"
"Kendall Graveman","CHW","0","0","0","","","","","","",".000","","0.0","","15514"
"Tyler Rogers","SFG","0","0","0","","","","","","",".000","","0.0","","15541"
"Mark Leiter Jr.","CHC","0","0","0","","","","","","",".000","","0.0","","15551"
"Miguel Castro","NYY","0","0","0","","","","","","",".000","","0.0","","15684"
"Luis Castillo","SEA","0","0","0","","","","","","",".000","","0.0","","15689"
"Brad Keller","KCR","0","0","0","","","","","","",".000","","0.0","","15734"
"Devin Williams","MIL","0","0","0","","","","","","",".000","","0.0","","15816"
"Sean Manaea","SDP","0","0","0","","","","","","",".000","","0.0","","15873"
"Luis Severino","NYY","0","0","0","","","","","","",".000","","0.0","","15890"
"Ryne Stanek","HOU","0","0","0","","","","","","",".000","","0.0","","15947"
"Zach Thompson","PIT","0","0","0","","","","","","",".000","","0.0","","16094"
"Jordan Romano","TOR","0","0","0","","","","","","",".000","","0.0","","16122"
"Carlos Rodon","SFG","0","0","0","","","","","","",".000","","0.0","","16137"
"Aaron Nola","PHI","0","0","0","","","","","","",".000","","0.0","","16149"
"Brandon Woodruff","MIL","0","0","0","","","","","","",".000","","0.0","","16162"
"Jake Reed","BAL","0","0","0","","","","","","",".000","","0.0","","16209"
"Kyle Freeland","COL","0","0","0","","","","","","",".000","","0.0","","16256"
"Aaron Bummer","CHW","0","0","0","","","","","","",".000","","0.0","","16258"
"Jesus Tinoco","TEX","0","0","0","","","","","","",".000","","0.0","","16300"
"Yairo Munoz","PHI","0","0","0","","","","","","",".000","","0.0","","16313"
"Reynaldo Lopez","CHW","0","0","0","","","","","","",".000","","0.0","","16400"
"Foster Griffin","TOR","0","0","0","","","","","","",".000","","0.0","","16432"
"Ryan Yarbrough","TBR","0","0","0","","","","","","",".000","","0.0","","16502"
"Jordan Montgomery","STL","0","0","0","","","","","","",".000","","0.0","","16511"
"Dusten Knight","TBR","0","0","0","","","","","","",".000","","0.0","","16537"
"Austin Gomber","COL","0","0","0","","","","","","",".000","","0.0","","16561"
"Connor Joe","COL","4","0","0","0","221","0","0","-100","0",".000","0.0%","-1.1","78.7","16572"
"Erik Swanson","SEA","0","0","0","","","","","","",".000","","0.0","","16587"
"Bryan Abreu","HOU","0","0","0","","","","","","",".000","","0.0","","16609"
"Greg Allen","PIT","4","0","0","0","332","0","0","-100","0",".000","0.0%","-0.9","","16623"
"Jeff Brigham","MIA","0","0","0","","","","","","",".000","","0.0","","16631"
"Tim Hill","SDP","0","0","0","","","","","","",".000","","0.0","","16814"
"Reed Garrett","WSN","0","0","0","","","","","","",".000","","0.0","","16866"
"Luke Weaver","KCR","0","0","0","","","","","","",".000","","0.0","","16918"
"Aramis Garcia","CIN","2","0","0","0","0","0","0","-100","0",".000","0.0%","-0.5","89.4","16925"
"Elieser Hernandez","MIA","0","0","0","","","","","","",".000","","0.0","","16933"
"Luis Ortiz","SFG","0","0","0","","","","","","",".000","","0.0","","16942"
"Trevor Williams","NYM","0","0","0","","","","","","",".000","","0.0","","16977"
"Tanner Banks","CHW","0","0","0","","","","","","",".000","","0.0","","16990"
"Magneuris Sierra","LAA","3","0","0","0","150","0","0","-100","0",".000","0.0%","-0.8","64.7","17023"
"Pablo Lopez","MIA","0","0","0","","","","","","",".000","","0.0","","17085"
"Domingo Acevedo","OAK","0","0","0","","","","","","",".000","","0.0","","17092"
"Raisel Iglesias","ATL","0","0","0","","","","","","",".000","","0.0","","17130"
"Domingo German","NYY","0","0","0","","","","","","",".000","","0.0","","17149"
"Dinelson Lamet","COL","0","0","0","","","","","","",".000","","0.0","","17186"
"Ranger Suarez","PHI","0","0","0","","","","","","",".000","","0.0","","17277"
"Justus Sheffield","SEA","0","0","0","","","","","","",".000","","0.0","","17285"
"Javy Guerra","TBR","0","0","0","","","","","","",".000","","0.0","","17292"
"Framber Valdez","HOU","0","0","0","","","","","","",".000","","0.0","","17295"
"Luis Liberato","SDP","0","0","0","","","","","","",".000","","0.0","","17307"
"Erick Fedde","WSN","0","0","0","","","","","","",".000","","0.0","","17425"
"Jonathan Hernandez","TEX","0","0","0","","","","","","",".000","","0.0","","17464"
"Jack Flaherty","STL","0","0","0","","","","","","",".000","","0.0","","17479"
"Albert Abreu","NYY","0","0","0","","","","","","",".000","","0.0","","17485"
"Spenser Watkins","BAL","0","0","0","","","","","","",".000","","0.0","","17489"
"Diego Castillo","SEA","0","0","0","","","","","","",".000","","0.0","","17496"
"Jimmy Herget","LAA","0","0","0","","","","","","",".000","","0.0","","17556"
"JT Brubaker","PIT","0","0","0","","","","","","",".000","","0.0","","17578"
"Tanner Scott","MIA","0","0","0","","","","","","",".000","","0.0","","17586"
"Mitch Keller","PIT","0","0","0","","","","","","",".000","","0.0","","17594"
"Cristian Javier","HOU","0","0","0","","","","","","",".000","","0.0","","17606"
"Taylor Clarke","KCR","0","0","0","","","","","","",".000","","0.0","","17611"
"Justin Lawrence","COL","0","0","0","","","","","","",".000","","0.0","","17639"
"Jeffrey Springs","TBR","0","0","0","","","","","","",".000","","0.0","","17677"
"Jose Cuas","KCR","0","0","0","","","","","","",".000","","0.0","","17701"
"Trevor Megill","MIN","0","0","0","","","","","","",".000","","0.0","","17722"
"Nabil Crismatt","SDP","0","0","0","","","","","","",".000","","0.0","","17732"
"Evan Phillips","LAD","0","0","0","","","","","","",".000","","0.0","","17734"
"Tyler Alexander","DET","0","0","0","","","","","","",".000","","0.0","","17735"
"Drew Smith","NYM","0","0","0","","","","","","",".000","","0.0","","17755"
"Jose Alvarado","PHI","0","0","0","","","","","","",".000","","0.0","","17780"
"Dillon Tate","BAL","0","0","0","","","","","","",".000","","0.0","","17796"
"Adbert Alzolay","CHC","0","0","0","","","","","","",".000","","0.0","","17859"
"Ian Gibaut","CIN","0","0","0","","","","","","",".000","","0.0","","17871"
"Nestor Cortes","NYY","0","0","0","","","","","","",".000","","0.0","","17874"
"Dennis Santana","TEX","0","0","0","","","","","","",".000","","0.0","","17878"
"Garrett Cleavinger","TBR","0","0","0","","","","","","",".000","","0.0","","17897"
"Trent Thornton","TOR","0","0","0","","","","","","",".000","","0.0","","17948"
"Brock Burke","TEX","0","0","0","","","","","","",".000","","0.0","","17968"
"Logan Webb","SFG","0","0","0","","","","","","",".000","","0.0","","17995"
"Pete Fairbanks","TBR","0","0","0","","","","","","",".000","","0.0","","17998"
"Triston McKenzie","CLE","0","0","0","","","","","","",".000","","0.0","","18000"
"Phil Maton","HOU","0","0","0","","","","","","",".000","","0.0","","18064"
"Ryan Helsley","STL","0","0","0","","","","","","",".000","","0.0","","18138"
"Anthony Misiewicz","KCR","0","0","0","","","","","","",".000","","0.0","","18152"
"Jarlin Garcia","SFG","0","0","0","","","","","","",".000","","0.0","","18282"
"Taylor Hearn","TEX","0","0","0","","","","","","",".000","","0.0","","18325"
"James Kaprielian","OAK","0","0","0","","","","","","",".000","","0.0","","18331"
"Alex Young","SFG","0","0","0","","","","","","",".000","","0.0","","18333"
"Jaime Barria","LAA","0","0","0","","","","","","",".000","","0.0","","18356"
"Connor Overton","CIN","0","0","0","","","","","","",".000","","0.0","","18376"
"Scott Effross","NYY","0","0","0","","","","","","",".000","","0.0","","18384"
"Enyel De Los Santos","CLE","0","0","0","","","","","","",".000","","0.0","","18403"
"Jose Urquidy","HOU","0","0","0","","","","","","",".000","","0.0","","18413"
"Tyler Cyr","OAK","0","0","0","","","","","","",".000","","0.0","","18421"
"Junior Fernandez","PIT","0","0","0","","","","","","",".000","","0.0","","18496"
"Phil Bickford","LAD","0","0","0","","","","","","",".000","","0.0","","18519"
"Dylan Cease","CHW","0","0","0","","","","","","",".000","","0.0","","18525"
"Sam Hentges","CLE","0","0","0","","","","","","",".000","","0.0","","18548"
"A.J. Minter","ATL","0","0","0","","","","","","",".000","","0.0","","18655"
"Jake Woodford","STL","0","0","0","","","","","","",".000","","0.0","","18674"
"Freddy Peralta","MIL","0","0","0","","","","","","",".000","","0.0","","18679"
"Sandy Alcantara","MIA","0","0","0","","","","","","",".000","","0.0","","18684"
"Kolby Allard","TEX","0","0","0","","","","","","",".000","","0.0","","18694"
"Miguel Diaz","DET","0","0","0","","","","","","",".000","","0.0","","18815"
"Tommy Nance","MIA","0","0","0","","","","","","",".000","","0.0","","19178"
"Kirby Snead","OAK","0","0","0","","","","","","",".000","","0.0","","19179"
"Jose Quijada","LAA","0","0","0","","","","","","",".000","","0.0","","19200"
"Dakota Hudson","STL","0","0","0","","","","","","",".000","","0.0","","19206"
"Mitch White","TOR","0","0","0","","","","","","",".000","","0.0","","19225"
"Cole Irvin","OAK","0","0","0","","","","","","",".000","","0.0","","19244"
"Seranthony Dominguez","PHI","0","0","0","","","","","","",".000","","0.0","","19249"
"Taylor Widener","ARI","0","0","0","","","","","","",".000","","0.0","","19266"
"Zac Gallen","ARI","0","0","0","","","","","","",".000","","0.0","","19291"
"Trevor Richards","TOR","0","0","0","","","","","","",".000","","0.0","","19309"
"Cal Quantrill","CLE","0","0","0","","","","","","",".000","","0.0","","19312"
"Eric Lauer","MIL","0","0","0","","","","","","",".000","","0.0","","19316"
"Matthew Festa","SEA","0","0","0","","","","","","",".000","","0.0","","19330"
"A.J. Puk","OAK","0","0","0","","","","","","",".000","","0.0","","19343"
"Caleb Ferguson","LAD","0","0","0","","","","","","",".000","","0.0","","19349"
"Dean Kremer","BAL","0","0","0","","","","","","",".000","","0.0","","19350"
"Corbin Burnes","MIL","0","0","0","","","","","","",".000","","0.0","","19361"
"Keegan Akin","BAL","0","0","0","","","","","","",".000","","0.0","","19362"
"Tony Gonsolin","LAD","0","0","0","","","","","","",".000","","0.0","","19388"
"Colin Poche","TBR","0","0","0","","","","","","",".000","","0.0","","19403"
"Shane Bieber","CLE","0","0","0","","","","","","",".000","","0.0","","19427"
"Yohan Ramirez","PIT","0","0","0","","","","","","",".000","","0.0","","19444"
"Patrick Sandoval","LAA","0","0","0","","","","","","",".000","","0.0","","19447"
"Michael Rucker","CHC","0","0","0","","","","","","",".000","","0.0","","19454"
"Bryan Garcia","DET","0","0","0","","","","","","",".000","","0.0","","19457"
"Aaron Civale","CLE","0","0","0","","","","","","",".000","","0.0","","19479"
"Andrew Vasquez","SFG","0","0","0","","","","","","",".000","","0.0","","19482"
"Jason Foley","DET","0","0","0","","","","","","",".000","","0.0","","19531"
"Jimmy Lambert","CHW","0","0","0","","","","","","",".000","","0.0","","19541"
"Stephen Nogosek","NYM","0","0","0","","","","","","",".000","","0.0","","19545"
"David Bednar","PIT","0","0","0","","","","","","",".000","","0.0","","19569"
"JoJo Romero","STL","0","0","0","","","","","","",".000","","0.0","","19574"
"Norge Ruiz","OAK","0","0","0","","","","","","",".000","","0.0","","19580"
"Sean Poppen","ARI","0","0","0","","","","","","",".000","","0.0","","19583"
"Cionel Perez","BAL","0","0","0","","","","","","",".000","","0.0","","19614"
"Jordan Hicks","STL","0","0","0","","","","","","",".000","","0.0","","19618"
"Kyle Wright","ATL","0","0","0","","","","","","",".000","","0.0","","19665"
"Gregory Soto","DET","0","0","0","","","","","","",".000","","0.0","","19677"
"Connor Seabold","BOS","0","0","0","","","","","","",".000","","0.0","","19695"
"Darick Hall","PHI","7","0","0","0","253","0","0","-100","0",".000","0.0%","-1.8","93.6","19717"
"Jonathan Loaisiga","NYY","0","0","0","","","","","","",".000","","0.0","","19753"
"Reiver Sanmartin","CIN","0","0","0","","","","","","",".000","","0.0","","19754"
"Rylan Bannon","ATL","0","0","0","","","","","","",".000","","0.0","","19768"
"Will Vest","DET","0","0","0","","","","","","",".000","","0.0","","19769"
"Keegan Thompson","CHC","0","0","0","","","","","","",".000","","0.0","","19795"
"Wil Crowe","PIT","0","0","0","","","","","","",".000","","0.0","","19800"
"Bryan Baker","BAL","0","0","0","","","","","","",".000","","0.0","","19804"
"Tucker Davidson","LAA","0","0","0","","","","","","",".000","","0.0","","19871"
"Kevin Ginkel","ARI","0","0","0","","","","","","",".000","","0.0","","19876"
"Alex Lange","DET","0","0","0","","","","","","",".000","","0.0","","19883"
"Clarke Schmidt","NYY","0","0","0","","","","","","",".000","","0.0","","19899"
"Jose Suarez","LAA","0","0","0","","","","","","",".000","","0.0","","19911"
"Luke Williams","MIA","1","0","0","","442","0","0","-100","0",".000","","-0.2","","19931"
"Trevor Stephan","CLE","0","0","0","","","","","","",".000","","0.0","","19932"
"Jesus Luzardo","MIA","0","0","0","","","","","","",".000","","0.0","","19959"
"Taylor Trammell","SEA","6","0","0","0","225","0","0","-100","0",".000","0.0%","-1.5","85.0","19960"
"Joey Wentz","DET","0","0","0","","","","","","",".000","","0.0","","19962"
"Tyson Miller","TEX","0","0","0","","","","","","",".000","","0.0","","19976"
"Zach Plesac","CLE","0","0","0","","","","","","",".000","","0.0","","19979"
"Bryse Wilson","PIT","0","0","0","","","","","","",".000","","0.0","","19990"
"Joel Kuhnel","CIN","0","0","0","","","","","","",".000","","0.0","","19995"
"Dylan Lee","ATL","0","0","0","","","","","","",".000","","0.0","","19996"
"John Schreiber","BOS","0","0","0","","","","","","",".000","","0.0","","20020"
"Adrian Morejon","SDP","0","0","0","","","","","","",".000","","0.0","","20039"
"Luis Robert","CHW","0","0","0","","","","","","",".000","","0.0","","20043"
"Jake Fishman","MIA","0","0","0","","","","","","",".000","","0.0","","20060"
"Kaleb Ort","BOS","0","0","0","","","","","","",".000","","0.0","","20061"
"Bailey Falter","PHI","0","0","0","","","","","","",".000","","0.0","","20070"
"Calvin Faucher","TBR","0","0","0","","","","","","",".000","","0.0","","20116"
"Adam Oller","OAK","0","0","0","","","","","","",".000","","0.0","","20132"
"James Karinchak","CLE","0","0","0","","","","","","",".000","","0.0","","20151"
"Nick Nelson","PHI","0","0","0","","","","","","",".000","","0.0","","20153"
"Kyle Muller","ATL","0","0","0","","","","","","",".000","","0.0","","20167"
"Zach Pop","TOR","0","0","0","","","","","","",".000","","0.0","","20185"
"Chad Smith","COL","0","0","0","","","","","","",".000","","0.0","","20190"
"Eli Morgan","CLE","0","0","0","","","","","","",".000","","0.0","","20203"
"Mike Baumann","BAL","0","0","0","","","","","","",".000","","0.0","","20206"
"Griffin Jax","MIN","0","0","0","","","","","","",".000","","0.0","","20253"
"Cory Abbott","WSN","0","0","0","","","","","","",".000","","0.0","","20277"
"David Peterson","NYM","0","0","0","","","","","","",".000","","0.0","","20302"
"Erich Uelmen","CHC","0","0","0","","","","","","",".000","","0.0","","20323"
"Zack Kelly","BOS","0","0","0","","","","","","",".000","","0.0","","20349"
"Steven Wilson","SDP","0","0","0","","","","","","",".000","","0.0","","20353"
"Brusdar Graterol","LAD","0","0","0","","","","","","",".000","","0.0","","20367"
"Matt Manning","DET","0","0","0","","","","","","",".000","","0.0","","20369"
"Andres Munoz","SEA","0","0","0","","","","","","",".000","","0.0","","20373"
"Greg Weissert","NYY","0","0","0","","","","","","",".000","","0.0","","20375"
"Josh Fleming","TBR","0","0","0","","","","","","",".000","","0.0","","20418"
"Jovani Moran","MIN","0","0","0","","","","","","",".000","","0.0","","20422"
"Nick Sandlin","CLE","0","0","0","","","","","","",".000","","0.0","","20517"
"Kirk McCarty","CLE","0","0","0","","","","","","",".000","","0.0","","20555"
"Yusei Kikuchi","TOR","0","0","0","","","","","","",".000","","0.0","","20633"
"Felix Bautista","BAL","0","0","0","","","","","","",".000","","0.0","","20666"
"Cristofer Ogando","TBR","0","0","0","","","","","","",".000","","0.0","","20667"
"Cristopher Sanchez","PHI","0","0","0","","","","","","",".000","","0.0","","20778"
"Manuel Rodriguez","CHC","0","0","0","","","","","","",".000","","0.0","","20794"
"Elvin Rodriguez","DET","0","0","0","","","","","","",".000","","0.0","","20962"
"Eduard Bazardo","BOS","0","0","0","","","","","","",".000","","0.0","","20997"
"Adrian Martinez","OAK","0","0","0","","","","","","",".000","","0.0","","21023"
"Jhoan Duran","MIN","0","0","0","","","","","","",".000","","0.0","","21029"
"Emmanuel Clase","CLE","0","0","0","","","","","","",".000","","0.0","","21032"
"Thomas Szapucki","SFG","0","0","0","","","","","","",".000","","0.0","","21065"
"Nick Vespi","BAL","0","0","0","","","","","","",".000","","0.0","","21093"
"Dauri Moreta","CIN","0","0","0","","","","","","",".000","","0.0","","21101"
"Miguel Yajure","PIT","0","0","0","","","","","","",".000","","0.0","","21111"
"Alexis Diaz","CIN","0","0","0","","","","","","",".000","","0.0","","21132"
"Connor Brogdon","PHI","0","0","0","","","","","","",".000","","0.0","","21205"
"Bailey Ober","MIN","0","0","0","","","","","","",".000","","0.0","","21224"
"Jake Bird","COL","0","0","0","","","","","","",".000","","0.0","","21267"
"Andre Jackson","LAD","0","0","0","","","","","","",".000","","0.0","","21298"
"Tylor Megill","NYM","0","0","0","","","","","","",".000","","0.0","","21318"
"Glenn Otto","TEX","0","0","0","","","","","","",".000","","0.0","","21366"
"Peter Strzelecki","MIL","0","0","0","","","","","","",".000","","0.0","","21367"
"Joe Ryan","MIN","0","0","0","","","","","","",".000","","0.0","","21390"
"Ryan Feltner","COL","0","0","0","","","","","","",".000","","0.0","","21446"
"Davis Martin","CHW","0","0","0","","","","","","",".000","","0.0","","21448"
"Kris Bubic","KCR","0","0","0","","","","","","",".000","","0.0","","21455"
"Cole Sands","MIN","0","0","0","","","","","","",".000","","0.0","","21461"
"Sean Hjelle","SFG","0","0","0","","","","","","",".000","","0.0","","21481"
"Shane McClanahan","TBR","0","0","0","","","","","","",".000","","0.0","","21483"
"Daniel Lynch","KCR","0","0","0","","","","","","",".000","","0.0","","21537"
"Jake Cousins","MIL","0","0","0","","","","","","",".000","","0.0","","21620"
"Edward Cabrera","MIA","0","0","0","","","","","","",".000","","0.0","","21690"
"Sebastian Rivero","KCR","5","0","0","0","180","0","0","-100","0",".000","0.0%","-1.2","90.5","21735"
"Javier Assad","CHC","0","0","0","","","","","","",".000","","0.0","","21741"
"Braxton Garrett","MIA","0","0","0","","","","","","",".000","","0.0","","21844"
"Cole Ragans","TEX","0","0","0","","","","","","",".000","","0.0","","21846"
"Mason Thompson","WSN","0","0","0","","","","","","",".000","","0.0","","21850"
"Bo Naylor","CLE","8","0","0","0","281","0","0","-100","0",".000","0.0%","-2.0","93.9","21865"
"Jerar Encarnacion","MIA","4","0","0","0","111","0","0","-100","0",".000","0.0%","-1.0","93.0","21871"
"Yerry Rodriguez","TEX","0","0","0","","","","","","",".000","","0.0","","21955"
"Max Castillo","KCR","0","0","0","","","","","","",".000","","0.0","","21956"
"Camilo Doval","SFG","0","0","0","","","","","","",".000","","0.0","","21992"
"Luis Frias","ARI","0","0","0","","","","","","",".000","","0.0","","21997"
"John King","TEX","0","0","0","","","","","","",".000","","0.0","","22051"
"Easton McGee","TBR","0","0","0","","","","","","",".000","","0.0","","22176"
"Hunter Greene","CIN","0","0","0","","","","","","",".000","","0.0","","22182"
"DL Hall","BAL","0","0","0","","","","","","",".000","","0.0","","22207"
"Jon Heasley","KCR","0","0","0","","","","","","",".000","","0.0","","22224"
"Logan Gilbert","SEA","0","0","0","","","","","","",".000","","0.0","","22250"
"Dylan Coleman","KCR","0","0","0","","","","","","",".000","","0.0","","22276"
"Matthew Liberatore","STL","0","0","0","","","","","","",".000","","0.0","","22294"
"Joe Barlow","TEX","0","0","0","","","","","","",".000","","0.0","","22296"
"Angel De Jesus","DET","0","0","0","","","","","","",".000","","0.0","","22323"
"Josh Winckowski","BOS","0","0","0","","","","","","",".000","","0.0","","22387"
"Logan Gillaspie","BAL","0","0","0","","","","","","",".000","","0.0","","22461"
"Johan Oviedo","PIT","0","0","0","","","","","","",".000","","0.0","","22487"
"Carlos Hernandez","KCR","0","0","0","","","","","","",".000","","0.0","","22713"
"Roansy Contreras","PIT","0","0","0","","","","","","",".000","","0.0","","22810"
"Yainer Diaz","HOU","4","0","0","0","225","0","0","-100","0",".000","0.0%","-1.0","104.2","23003"
"Michael Plassmeyer","PHI","0","0","0","","","","","","",".000","","0.0","","23191"
"Michael Grove","LAD","0","0","0","","","","","","",".000","","0.0","","23221"
"Collin Snider","KCR","0","0","0","","","","","","",".000","","0.0","","23307"
"Beau Sulser","BAL","0","0","0","","","","","","",".000","","0.0","","23420"
"JP Sears","OAK","0","0","0","","","","","","",".000","","0.0","","23429"
"Brandon Hughes","CHC","0","0","0","","","","","","",".000","","0.0","","23460"
"Tommy Romero","WSN","0","0","0","","","","","","",".000","","0.0","","23465"
"Ron Marinaccio","NYY","0","0","0","","","","","","",".000","","0.0","","23488"
"Aaron Ashby","MIL","0","0","0","","","","","","",".000","","0.0","","23550"
"Luis Garcia","HOU","0","0","0","","","","","","",".000","","0.0","","23735"
"Alek Thomas","ARI","6","0","0","0","74","0","0","-100","0",".000","0.0%","-1.5","86.3","23792"
"Brayan Bello","BOS","0","0","0","","","","","","",".000","","0.0","","23920"
"Ronny Henriquez","MIN","0","0","0","","","","","","",".000","","0.0","","24094"
"Simeon Woods Richardson","MIN","0","0","0","","","","","","",".000","","0.0","","24494"
"Josiah Gray","WSN","0","0","0","","","","","","",".000","","0.0","","24580"
"Kyle Bradish","BAL","0","0","0","","","","","","",".000","","0.0","","24586"
"Josh Winder","MIN","0","0","0","","","","","","",".000","","0.0","","24606"
"Frank German","BOS","0","0","0","","","","","","",".000","","0.0","","24750"
"Andrew Wantz","LAA","0","0","0","","","","","","",".000","","0.0","","24933"
