Name,Team,PA,HR,SB,BABIP+,K%+,BB%+,ISO+,wRC+,Barrels,OPS,Barrel%,Off,EV,NameASCII,PlayerId,MLBAMID
"Vladimir Guerrero Jr.","TOR",52,1,0,145.0933408529447,69.05292087009516,210.69671592621916,91.31929519744986,174.6526575310688,4,0.949910554,0.11428571,3.86529047832767,95.62800328871784,"Vladimir Guerrero Jr.",19611,665489
"Tommy Pham","CHW",57,1,2,157.63900598278974,102.36792691919803,85.42868725072033,88.09970408270141,154.35282995341123,4,0.884278001,0.1025641,3.5674288178951383,95.44821440867888,"Tommy Pham",2967,502054
"Romy Gonzalez","BOS",19,0,2,125.8462652448453,94.49347082970434,64.07151482936084,36.35860849121039,81.30347951129589,0,0.649122806,0,-0.47402534117362083,95.44752829415458,"Romy Gonzalez",21562,663853
"Jesús Sánchez","MIA",41,0,1,98.18610403632165,76.78756061970462,112.267533027082,19.97263099314671,76.14383525438315,3,0.582142857,0.10344828,-1.5441501102554989,95.36855397905622,"Jesus Sanchez",19913,660821
"Cristian Pache","PHI",19,0,0,62.48206607996784,165.69947293987607,60.56537894770365,82.24024415565492,3.286066324599293,1,0.393188853,0.09090909,-1.9988047847735926,95.30020675659179,"Cristian Pache",19948,665506
"Tyler O'Neill","BOS",46,2,0,78.30434277203226,204.90703799818277,132.32160888288485,95.77389450027195,42.13328299679378,4,0.53181336,0.2,-3.295450349758751,95.25247535705566,"Tyler O'Neill",15711,641933
"Austin Martin","MIN",4,0,1,88.09238570662868,0,0,163.61373690153684,107.07628965867796,0,0.75,0,0.22686903938845365,95.22869873046875,"Austin Martin",27462,668885
"Andrew Vaughn","CHW",50,3,0,56.833797025481346,98.74567738733731,97.38870429362517,159.97787644508875,92.29051642232669,6,0.682222222,0.17647059,-0.6484911364357185,95.18690356086282,"Andrew Vaughn",26197,683734
"LaMonte Wade Jr.","SFG",45,1,0,118.50047061381497,49.97285695407022,255.72049323755272,59.91789228039806,159.85956443009107,4,0.866666666,0.13333333,2.9431640336860534,95.18640365600587,"LaMonte Wade Jr.",18126,664774
"Joc Pederson","ARI",33,2,0,161.7182893042222,177.17649259183676,34.870976036736586,174.76051856862594,152.2480784171434,3,0.895833333,0.15789474,2.0465481978210356,95.16064894826789,"Joc Pederson",11899,592626
