Name,Team,Barrel%,CSW%,Starting,Relieving,SO,TBF,GS,SV,xFIP-,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Burch Smith","MIA",0.08333333,0.3255814,,0.760521562784336,3,15,0,0,86.74138980645833,112.33488372093025,111.32790697674419,118.21627906976742,"Burch Smith",12784,572143
"Stephen Kolek","SDP",0.125,0.21126761,,-0.38178472219240267,2,18,0,0,89.74184314029158,97.92039825157843,119.65730937348228,117.20670228266148,"Stephen Kolek",21487,663568
"Nick Pivetta","BOS",0.10810811,0.29130435,2.0770767487363075,,19,59,3,0,76.77536966528177,146.5208695652174,110.15565217391304,116.28956521739131,"Nick Pivetta",15454,601713
"Tyson Miller","CHC",0.13333333,0.32432432,,1.200048944240224,5,21,0,0,79.80465152077973,114.28513513513514,110.83243243243244,115.89324324324325,"Tyson Miller",19976,668338
"Lucas Sims","CIN",0.08333333,0.25,,1.1864834547052157,3,17,0,0,136.0153051675092,151.48214285714286,102.74107142857143,115.65892857142856,"Lucas Sims",13470,608371
"Paul Skenes","PIT",0,0.30051813,4.685006428614605,,14,42,2,0,51.629557950918326,112.69999999999999,108.62849740932643,115.46528497409327,"Paul Skenes",33677,694973
"Jimmy Herget","ATL",0,0.28571429,,0.23782230403560517,2,4,0,0,89.74184060974976,112.25238095238096,85.86666666666667,114.85238095238095,"Jimmy Herget",17556,623474
"Paul Sewald","ARI",0,0.35897436,,2.1881780337579477,3,13,0,3,94.88795409640397,111.40512820512821,109.66666666666667,114.2974358974359,"Paul Sewald",13892,623149
"Carlos Hernández","KCR",0.33333333,0.36363636,,0.046781835825834256,0,3,0,0,186.90011485479152,133.65454545454548,104.73636363636363,114.24545454545455,"Carlos Hernandez",22713,672578
"Yoendrys Gómez","NYY",,0.69230769,,0.38329978019388694,3,3,0,0,-75.95598131871498,97.26923076923077,119.22307692307693,113.30000000000001,"Yoendrys Gomez",22872,672782
"Pete Fairbanks","TBR",0,0.44444444,,3.469901692135674,7,16,0,1,42.439648341203416,132.02444444444444,108.82666666666667,113.27111111111108,"Pete Fairbanks",17998,664126
"Ryan Helsley","STL",0,0.36231884,,1.6885046802417292,5,21,0,5,94.68676598557634,134.89636363636365,103.96545454545453,113.25636363636363,"Ryan Helsley",18138,664854
"Ryan Thompson","ARI",0.05555556,0.30588235,,3.501073372305311,7,25,0,0,41.38209804303815,111.62274509803923,101.94392156862746,112.62819607843139,"Ryan Thompson",16647,657044
"Corbin Burnes","BAL",0.03921569,0.29411765,5.9950790431656005,,19,75,3,0,73.40879654657955,119.00637388107418,105.18344789002559,112.52344149616368,"Corbin Burnes",19361,669203
"Anthony Banda","LAD",0,0.2,,0.9886048975244867,2,9,0,0,68.62531088441605,84.12999999999998,115.17666666666668,112.40666666666667,"Anthony Banda",14706,607455
"Alex Faedo","DET",0.05,0.29824561,,0.67443113755984,8,30,0,0,77.59751413092947,103.34035087719299,109.5701754385965,111.98947368421052,"Alex Faedo",19874,656412
"Chris Martin","BOS",0,0.34482759,,2.863500059132403,8,16,0,0,3.1216202970179228,109.69310344827586,112.93620689655174,111.9396551724138,"Chris Martin",11847,455119
