"Name","Team","PA","HR","SB","Off","wRC+","wOBA","ISO+","Barrel%","BsR","Spd","SwStr%","TTO%","BB%+","K%+","Oppo%+","EV","maxEV","xwOBA","HardHit%","playerid"
"Francisco Lindor","NYM","706","26","16","25.4","127",".342","116","8.3%","3.3","5.6","10.0%","30.9%","100","83","98","89.3","110.7",".331","41.1%","12916"
"Steven Kwan","CLE","638","6","19","22.0","124",".341","68","1.4%","4.9","6.2","3.1%","20.1%","122","42","136","85.1","107.1",".312","20.8%","24610"
"Oscar Gonzalez","CLE","382","11","1","8.3","122",".339","111","7.3%","-1.3","1.6","14.4%","26.4%","49","88","77","88.6","113.3",".320","39.8%","20970"
"Ian Happ","CHC","641","17","9","15.2","120",".339","109","6.5%","0.7","3.9","11.9%","34.9%","108","103","101","89.7","113.9",".306","40.2%","17919"
"Dylan Moore","SEA","255","6","21","10.1","126",".338","108","12.8%","2.5","8.3","9.5%","45.1%","167","132","92","87.2","110.5",".322","36.1%","18042"
"Dansby Swanson","ATL","696","25","18","15.8","116",".337","110","10.8%","3.1","4.8","13.9%","36.8%","84","116","102","90.2","109.6",".337","46.1%","18314"
"Ty France","SEA","613","20","0","14.9","126",".337","108","5.4%","-2.8","1.5","9.3%","24.3%","72","69","111","87.6","110.4",".321","36.3%","17982"
"Jake McCarthy","ARI","354","8","23","14.3","116",".337","92","4.8%","7.7","7.6","13.3%","30.2%","78","95","103","87.4","108.3",".298","33.3%","21622"
"Kolten Wong","MIL","497","15","17","13.0","117",".336","116","5.4%","3.4","6.1","8.2%","30.0%","111","78","104","87.0","109.7",".305","35.2%","12532"
"Anthony Santander","BAL","647","33","0","15.0","120",".336","144","11.6%","0.3","1.6","9.2%","32.5%","107","85","81","90.1","112.0",".352","43.3%","14551"
"Randy Arozarena","TBR","645","20","32","13.8","125",".336","122","7.9%","-4.3","5.6","12.2%","34.4%","90","109","91","89.9","114.1",".301","40.7%","19290"
"Ronald Acuna Jr.","ATL","533","15","29","13.7","114",".335","95","12.8%","4.8","4.9","10.9%","36.4%","119","105","83","91.2","116.6",".366","49.7%","18401"
"C.J. Cron","COL","632","29","0","1.5","101",".335","136","10.8%","0.5","2.4","10.8%","37.3%","81","115","107","88.6","115.5",".321","42.2%","12546"
"Seiya Suzuki","CHC","446","14","9","8.0","116",".334","111","11.0%","-0.4","4.5","8.0%","37.2%","113","109","130","89.6","111.3",".327","40.3%","30116"
"Keston Hiura","MIL","266","14","5","5.3","115",".334","143","15.3%","0.7","5.1","18.4%","55.6%","103","185","98","91.7","111.0",".317","45.2%","20003"
"J.D. Davis","- - -","365","12","1","5.2","119",".333","110","16.2%","-3.1","2.9","18.0%","47.4%","128","148","103","92.4","112.7",".353","55.6%","16219"
"Jorge Polanco","MIN","445","16","3","10.5","119",".333","114","10.2%","0.9","2.3","9.7%","39.3%","181","96","85","89.0","111.0",".358","38.4%","13152"
"Gio Urshela","MIN","551","13","1","5.6","119",".332","96","7.0%","-6.2","3.0","10.0%","27.2%","93","78","107","88.9","110.3",".323","37.6%","10681"
"Josh Naylor","CLE","498","20","6","5.8","117",".331","131","8.6%","-3.6","2.9","9.5%","27.7%","96","72","83","89.4","113.0",".327","42.5%","18839"
"Sean Murphy","OAK","612","18","1","13.8","122",".331","118","10.5%","-1.4","2.7","11.0%","32.4%","115","91","92","88.7","114.0",".344","41.1%","19352"
"Corey Seager","TEX","663","33","3","15.1","117",".331","141","10.5%","2.6","3.2","13.7%","29.3%","110","70","95","91.1","111.3",".372","45.5%","13624"
"Matt Chapman","TOR","621","27","2","15.1","117",".331","137","12.9%","3.1","2.9","10.8%","42.7%","138","123","71","92.2","112.7",".341","50.7%","16505"
"Garrett Cooper","MIA","469","9","0","6.2","115",".330","100","10.7%","-2.2","1.8","9.9%","35.8%","102","112","112","89.6","112.6",".341","43.3%","15279"
"Evan Longoria","SFG","298","14","0","2.8","115",".330","133","12.4%","-2.3","0.9","12.2%","41.6%","108","123","94","91.1","109.6",".324","46.8%","9368"
"Cal Raleigh","SEA","415","27","1","8.7","121",".330","186","15.4%","-1.0","2.5","15.3%","45.1%","115","132","89","90.9","114.0",".324","43.5%","21534"
"DJ LeMahieu","NYY","541","12","4","6.0","116",".329","77","5.3%","-4.0","2.8","5.0%","27.7%","156","59","145","89.2","110.9",".344","40.6%","9874"
"Jose Miranda","MIN","483","15","1","4.6","117",".329","106","6.2%","-4.5","1.5","11.6%","27.7%","73","85","91","89.3","109.4",".317","42.1%","20538"
"Gleyber Torres","NYY","572","24","10","9.8","115",".328","130","10.7%","-0.2","4.1","12.4%","33.6%","86","102","119","90.4","111.3",".319","44.9%","16997"
"Gavin Lux","LAD","471","6","7","10.5","113",".328","80","6.1%","3.2","6.2","9.1%","31.4%","119","89","86","88.0","108.1",".314","39.8%","19955"
"Christian Yelich","MIL","671","14","19","11.9","111",".328","84","8.2%","3.4","6.0","9.8%","39.3%","157","107","123","91.5","117.2",".339","48.1%","11477"
"Harold Ramirez","TBR","435","6","3","7.1","119",".327","70","4.8%","-2.3","2.2","13.4%","22.3%","55","74","76","88.5","113.7",".314","40.9%","14387"
"Rowdy Tellez","MIL","599","35","2","0.7","110",".327","156","12.9%","-6.6","1.8","9.4%","36.4%","124","89","77","91.1","116.9",".349","45.7%","15679"
"Giancarlo Stanton","NYY","452","31","0","4.8","115",".327","168","19.2%","-2.6","0.9","14.7%","48.2%","139","136","105","95.0","119.8",".351","52.1%","4949"
"Luis Urias","MIL","472","16","1","5.9","110",".327","106","8.3%","0.2","2.3","8.6%","35.0%","127","93","90","87.3","109.7",".326","34.9%","16622"
"Lourdes Gurriel Jr.","TOR","493","5","3","3.8","114",".327","72","3.8%","-4.1","2.7","9.7%","24.1%","79","76","112","90.6","109.5",".321","45.3%","19238"
"Andrew Vaughn","CHW","555","17","0","4.9","113",".327","106","7.9%","-3.2","1.8","9.0%","25.9%","70","78","111","90.8","112.1",".319","48.4%","26197"
"Chas McCormick","HOU","407","14","4","5.2","114",".326","108","10.2%","-1.1","3.8","13.9%","40.8%","142","117","121","88.1","109.9",".325","39.0%","19599"
"Josh Rojas","ARI","510","9","23","11.3","108",".326","79","4.5%","6.2","5.6","8.2%","31.8%","129","85","129","88.8","109.1",".308","36.1%","19734"
"Ryan McMahon","COL","597","20","7","-1.3","95",".326","109","10.4%","2.1","4.2","11.3%","39.9%","120","117","118","91.7","113.7",".330","46.3%","15112"
"Willy Adames","MIL","617","31","8","8.8","109",".325","142","13.0%","2.4","3.6","12.9%","39.9%","95","119","101","88.9","110.6",".323","43.4%","15986"
"Adolis Garcia","TEX","657","27","25","14.8","112",".324","138","12.9%","6.0","6.6","16.8%","38.1%","76","125","87","92.1","113.0",".322","47.4%","19287"
"Luis Robert","CHW","401","12","11","9.5","111",".324","95","8.9%","4.4","4.6","15.2%","26.4%","53","86","113","89.3","117.8",".327","42.4%","20043"
"Salvador Perez","KCR","473","23","0","1.4","109",".324","141","11.2%","-3.2","1.5","16.9%","31.7%","48","104","88","91.4","112.5",".326","49.0%","7304"
"Wander Franco","TBR","344","6","8","10.3","116",".323","94","4.6%","4.0","6.4","6.1%","18.9%","95","43","110","87.3","112.4",".331","35.4%","23667"
"Seby Zavala","CHW","205","2","0","1.8","111",".323","75","9.2%","-0.7","1.4","18.2%","41.5%","116","141","115","88.8","105.8",".283","37.0%","18887"
"Seth Brown","OAK","555","25","11","12.8","117",".323","143","13.0%","2.4","4.7","13.1%","40.0%","115","118","94","89.2","112.9",".338","40.8%","18171"
"T.J. Friedl","CIN","258","8","7","1.3","101",".323","126","4.7%","0.9","7.2","8.0%","26.4%","93","69","96","87.2","107.2",".283","29.3%","19522"
"Yonathan Daza","COL","408","2","0","-3.2","93",".323","54","1.9%","-0.1","3.4","8.9%","21.1%","76","63","112","84.8","106.0",".308","25.0%","15794"
"Isaac Paredes","TBR","381","20","0","6.2","116",".323","154","6.4%","-0.7","1.7","5.9%","34.4%","145","79","82","87.4","110.4",".297","37.6%","20036"
"Tim Anderson","CHW","351","6","13","6.9","110",".323","63","5.8%","2.8","5.6","11.8%","21.4%","50","71","122","88.2","108.7",".340","41.2%","15172"
"Daulton Varsho","ARI","592","27","16","7.7","106",".323","134","10.2%","3.4","5.7","11.7%","36.8%","93","108","65","87.7","110.3",".298","35.3%","19918"
"Christopher Morel","CHC","425","16","10","6.0","108",".322","128","13.4%","1.9","5.9","18.1%","44.9%","107","143","69","89.6","112.9",".324","39.7%","21897"
"Eric Haase","DET","351","14","0","3.1","112",".322","126","8.7%","-1.5","2.1","16.0%","38.5%","86","124","102","87.7","109.9",".302","42.4%","14111"
"Ji-Man Choi","TBR","419","11","0","4.6","116",".322","103","11.9%","-2.7","0.7","12.5%","45.8%","174","132","97","92.2","111.1",".337","47.5%","5452"
"Nick Gordon","MIN","443","9","6","4.9","111",".321","104","9.4%","-0.6","4.9","15.2%","30.0%","54","107","106","90.6","110.7",".333","44.3%","16337"
"Brendan Rodgers","COL","581","13","0","-7.1","92",".321","92","7.2%","-1.7","2.6","10.1%","27.5%","95","77","127","90.0","112.2",".326","45.9%","17907"
"Orlando Arcia","ATL","234","9","0","1.0","104",".321","111","7.5%","-0.1","1.1","11.4%","34.6%","107","96","86","90.7","107.9",".329","42.5%","13185"
"Oneil Cruz","PIT","361","17","10","4.5","106",".320","140","15.5%","2.0","6.4","13.7%","47.4%","93","154","89","91.9","122.4",".304","45.6%","21711"
"Jurickson Profar","SDP","658","15","5","6.3","110",".320","95","4.0%","-1.4","4.0","7.4%","29.0%","133","69","100","87.5","109.4",".315","34.3%","10815"
"Sam Haggerty","SEA","201","5","13","5.3","114",".320","99","4.0%","2.2","7.4","12.8%","37.8%","112","119","102","86.0","109.0",".285","24.6%","18054"
"Jean Segura","PHI","387","10","13","0.4","105",".320","71","4.4%","-1.6","4.0","8.2%","24.0%","77","66","122","87.6","111.0",".303","38.4%","5933"
"Nico Hoerner","CHC","517","10","20","6.0","106",".320","83","2.6%","2.3","6.4","6.6%","18.4%","65","49","121","87.2","109.7",".301","32.9%","21479"
