"Name","Team","PA","HR","SB","Off","wRC+","wOBA","ISO+","Barrel%","BsR","Spd","SwStr%","TTO%","BB%+","K%+","Oppo%+","EV","maxEV","xwOBA","HardHit%","playerid"
"Adam Engel","CHW","260","2","12","-8.6","63",".256","57","1.8%","2.1","6.8","14.7%","34.2%","53","132","110","87.9","111.2",".246","32.5%","15082"
"Sheldon Neuse","OAK","293","4","6","-9.6","67",".253","49","3.1%","1.3","5.4","13.1%","35.5%","86","123","135","89.1","108.3",".254","38.2%","19635"
"Tucker Barnhart","DET","308","1","0","-14.6","63",".253","31","1.9%","-1.7","0.6","8.9%","32.5%","102","108","116","84.5","105.2",".244","25.5%","10200"
"Geraldo Perdomo","ARI","500","5","9","-18.7","59",".253","43","2.0%","5.4","5.5","7.0%","31.6%","120","91","97","85.0","104.7",".269","24.9%","22799"
"Taylor Walls","TBR","466","8","10","-14.5","66",".252","76","6.2%","3.2","5.5","10.1%","38.6%","140","116","119","86.3","105.7",".270","28.1%","22458"
"Jackie Bradley Jr.","- - -","370","4","2","-18.9","56",".252","72","4.8%","-0.7","2.7","13.4%","28.4%","81","94","92","87.6","107.6",".268","37.2%","12984"
"Didi Gregorius","PHI","232","1","1","-9.3","58",".251","60","2.8%","2.1","5.1","12.6%","21.6%","67","69","95","84.5","106.5",".275","22.8%","6012"
"Robinson Chirinos","BAL","220","4","1","-10.9","61",".251","72","6.9%","-1.2","1.6","15.9%","40.9%","108","137","59","84.8","107.6",".245","33.1%","3142"
"Sam Hilliard","COL","200","2","5","-11.2","44",".251","52","9.2%","1.8","6.3","14.6%","41.0%","138","126","85","92.0","115.1",".303","48.7%","17954"
"Nicky Lopez","KCR","480","0","13","-18.2","57",".251","31","1.6%","5.2","6.3","7.4%","19.2%","76","59","130","84.9","106.7",".273","22.4%","19339"
"Jonathan Villar","- - -","220","3","7","-8.4","58",".250","61","2.7%","2.2","7.3","15.4%","35.0%","83","119","100","89.6","109.5",".247","39.7%","10071"
"Mauricio Dubon","- - -","265","5","2","-13.2","59",".248","65","2.3%","-0.8","3.3","7.7%","18.1%","61","51","91","84.7","107.6",".272","29.9%","16530"
"Abraham Toro","SEA","352","10","2","-16.3","62",".246","93","6.8%","-1.1","4.1","9.3%","27.6%","79","83","78","87.0","108.2",".284","29.7%","19844"
"Jonathan Schoop","DET","510","11","5","-24.5","58",".245","81","4.8%","-0.2","4.4","13.9%","26.9%","47","94","82","87.0","111.6",".268","38.6%","11265"
"Nick Allen","OAK","326","4","3","-13.8","61",".245","56","1.2%","0.5","3.2","11.4%","26.7%","73","88","147","83.9","104.6",".238","22.3%","22277"
"Paul DeJong","STL","237","6","3","-13.0","55",".241","83","9.8%","-0.7","3.0","16.3%","44.7%","106","147","125","87.6","110.3",".267","37.6%","18015"
"Andrew Velazquez","LAA","349","9","17","-15.1","50",".239","73","6.6%","4.6","6.1","17.0%","41.0%","54","153","103","88.0","109.1",".246","33.5%","14196"
"Yadier Molina","STL","270","5","2","-19.7","51",".235","57","3.1%","-4.4","2.9","11.4%","18.5%","22","66","97","84.7","107.8",".254","26.0%","7007"
"Austin Hedges","CLE","338","7","2","-25.8","42",".225","57","3.1%","-3.6","2.9","11.9%","32.5%","93","104","86","84.2","107.1",".240","22.3%","12976"
"Leury Garcia","CHW","315","3","2","-19.5","39",".221","38","4.2%","2.2","4.3","13.1%","23.8%","28","93","106","87.0","109.2",".258","34.2%","5913"
"Brett Phillips","- - -","225","5","7","-11.9","38",".213","70","4.5%","3.8","5.9","15.5%","51.1%","89","188","83","88.5","107.8",".220","28.6%","14735"
"Cristian Pache","OAK","260","3","2","-20.8","35",".207","50","3.4%","-1.7","4.1","14.1%","33.8%","72","121","72","89.4","108.6",".259","40.8%","19948"
