"Name","Team","PA","HR","SB","Off","wRC+","wOBA","ISO+","Barrel%","BsR","Spd","BB%+","K%+","Oppo%+","EV","maxEV","xwOBA","playerid"
"Seiya Suzuki","CHC","446","14","9","8.0","116",".334","111","11.0%","-0.4","4.5","113","109","130","89.6","111.3",".327","30116"
"Keston Hiura","MIL","266","14","5","5.3","115",".334","143","15.3%","0.7","5.1","103","185","98","91.7","111.0",".317","20003"
"J.D. Davis","- - -","365","12","1","5.2","119",".333","110","16.2%","-3.1","2.9","128","148","103","92.4","112.7",".353","16219"
"Jorge Polanco","MIN","445","16","3","10.5","119",".333","114","10.2%","0.9","2.3","181","96","85","89.0","111.0",".358","13152"
"Gio Urshela","MIN","551","13","1","5.6","119",".332","96","7.0%","-6.2","3.0","93","78","107","88.9","110.3",".323","10681"
"Josh Naylor","CLE","498","20","6","5.8","117",".331","131","8.6%","-3.6","2.9","96","72","83","89.4","113.0",".327","18839"
"Sean Murphy","OAK","612","18","1","13.8","122",".331","118","10.5%","-1.4","2.7","115","91","92","88.7","114.0",".344","19352"
"Corey Seager","TEX","663","33","3","15.1","117",".331","141","10.5%","2.6","3.2","110","70","95","91.1","111.3",".372","13624"
"Matt Chapman","TOR","621","27","2","15.1","117",".331","137","12.9%","3.1","2.9","138","123","71","92.2","112.7",".341","16505"
"Garrett Cooper","MIA","469","9","0","6.2","115",".330","100","10.7%","-2.2","1.8","102","112","112","89.6","112.6",".341","15279"
"Evan Longoria","SFG","298","14","0","2.8","115",".330","133","12.4%","-2.3","0.9","108","123","94","91.1","109.6",".324","9368"
"Cal Raleigh","SEA","415","27","1","8.7","121",".330","186","15.4%","-1.0","2.5","115","132","89","90.9","114.0",".324","21534"
"DJ LeMahieu","NYY","541","12","4","6.0","116",".329","77","5.3%","-4.0","2.8","156","59","145","89.2","110.9",".344","9874"
"Jose Miranda","MIN","483","15","1","4.6","117",".329","106","6.2%","-4.5","1.5","73","85","91","89.3","109.4",".317","20538"
"Gleyber Torres","NYY","572","24","10","9.8","115",".328","130","10.7%","-0.2","4.1","86","102","119","90.4","111.3",".319","16997"
