Name,Team,xERA,K-BB%,Barrel%,CSW%,Starting,Relieving,TBF,GS,SV,xFIP-,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Nestor Cortes","NYY",2.85,0.18181818,0.06486486,0.26634146,12.31576156616211,,264,11,0,99.46072479255062,97.93593750000001,103.16220703124999,102.69384765625001,"Nestor Cortes",17874,641482
"Ranger Suárez","PHI",2.31,0.22764228,0.04294479,0.28297872,18.597896575927734,,246,10,0,67.64305023949346,84.68021276595745,105.43393617021273,102.6755319148936,"Ranger Suarez",17277,624133
"Paul Blackburn","OAK",4.49,0.12234043,0.07971014,0.25273224,3.6200623512268066,,188,8,0,95.15694991046814,94.00437235543016,105.16699576868832,102.49026798307476,"Paul Blackburn",14739,621112
"Jake Irvin","WSN",4.74,0.15086207,0.10227273,0.26174497,9.63275146484375,,232,10,0,95.59665214501838,97.14485458612975,105.8699105145414,102.48445190156599,"Jake Irvin",21504,663623
"Slade Cecconi","ARI",3.42,0.10687023,0.08080808,0.25779626,0.6452856659889221,-3.5375328063964844,131,5,0,129.3918539333598,97.96886863728969,102.47103778156409,102.45690525690526,"Slade Cecconi",27500,677944
"Luis Gil","NYY",2.78,0.18552036,0.05785124,0.27789474,13.293355941772461,,221,10,0,88.88890608545691,114.17334035827187,96.1383561643836,102.32033719704954,"Luis Gil",21052,661563
"Yu Darvish","SDP",3.4,0.1745283,0.05479452,0.2748184,8.325647354125977,,212,10,0,92.4191295525819,97.79987804878054,103.30012195121952,102.31475609756096,"Yu Darvish",13074,506433
"Cooper Criswell","BOS",3.35,0.18309859,0.08163265,0.28503185,4.594460964202881,-0.0944114476442337,142,7,0,81.249200491652,106.91831572090332,105.01487127522158,102.12185787938178,"Cooper Criswell",24975,681867
"Carlos Rodón","NYY",4.49,0.14785992,0.09714286,0.26479146,5.088833332061768,,257,11,0,113.93269568340634,118.58971871968963,97.92822502424829,102.0540252182347,"Carlos Rodon",16137,607074
"Clarke Schmidt","NYY",3.65,0.19642857,0.07801418,0.31229597,9.060396194458008,,224,10,0,86.71140470782244,114.538185443669,100.11984047856433,102.03668993020939,"Clarke Schmidt",19899,657376
"Joe Musgrove","SDP",6.02,0.12371134,0.10526316,0.28286853,-3.597327709197998,,194,9,0,110.1109001936038,115.2445945945946,100.72986486486484,101.72486486486486,"Joe Musgrove",12970,605397
"Frankie Montas","CIN",4.58,0.06593407,0.06666667,0.23012552,2.6252336502075195,,182,9,0,126.17241639605872,102.60587412587411,102.31398601398601,101.39412587412588,"Frankie Montas",14309,593423
"Freddy Peralta","MIL",3.83,0.23043478,0.10294118,0.28013029,10.933673858642578,,230,10,0,82.8213121538612,110.13261131167268,96.2779783393502,101.39025270758121,"Freddy Peralta",18679,642547
"Aaron Civale","TBR",4.03,0.16393443,0.07142857,0.2867884,1.7354836463928223,,244,11,0,93.1549069680212,96.66872294372294,99.6077922077922,101.35497835497834,"Aaron Civale",19479,650644
"Alec Marsh","KCR",4.03,0.13714286,0.06349206,0.2724595,8.598043441772461,,175,8,0,103.01696480905382,98.57828655834567,101.73722304283604,101.2261447562777,"Alec Marsh",27451,679525
"Ryan Feltner","COL",3.78,0.13333333,0.06896552,0.25306577,9.262870788574219,,240,10,0,101.31587395703522,100.63482142857144,100.6954241071429,101.21216517857144,"Ryan Feltner",21446,663372
"Chris Sale","ATL",2.5,0.28054299,0.03597122,0.33796296,16.36728858947754,,221,9,0,61.26220765687598,107.29698375870069,102.81902552204174,101.18967517401391,"Chris Sale",10603,519242
"Framber Valdez","HOU",3.92,0.12865497,0.04098361,0.28432956,3.3265326023101807,,171,7,0,78.59140121203828,111.40434782608696,96.44219001610308,101.1882447665056,"Framber Valdez",17295,664285
"Logan Gilbert","SEA",3.21,0.17343173,0.06486486,0.28528827,11.481668472290039,,271,11,0,86.7504210974539,120.82483516483519,99.46956043956042,101.11802197802199,"Logan Gilbert",22250,669302
"Kyle Hendricks","CHC",6.29,0.08641975,0.07317073,0.26020408,-5.736644268035889,0.0808895081281662,162,7,0,108.20022574998465,102.39001909428032,104.2459886662246,101.10806533804856,"Kyle Hendricks",12049,543294
"Jordan Hicks","SFG",3.6,0.12340426,0.06707317,0.27463312,8.083732604980469,,235,11,0,97.5230776542523,111.93809024134312,96.7215110178384,101.03536201469045,"Jordan Hicks",19618,663855
"Spencer Turnbull","PHI",4.11,0.18292683,0.07476636,0.2852984,6.629097938537598,-0.11993797868490219,164,6,0,85.06066958268056,111.14207735495945,100.08032636175591,101.00442810081974,"Spencer Turnbull",16207,605513
