"Name","Team","Barrel%","CSW%","Starting","Relieving","SO","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Keynan Middleton","ARI","9.5%","32.5%","","-0.9","3","25","0","0","151","110","327","156","126","15264"
"Bryce Montes de Oca","NYM","0.0%","29.2%","","0.6","5","15","0","0","27","183","0","205","228","21319"
"Jake McGee","WSN","0.0%","12.5%","","-0.3","0","8","0","0","271","0","0","235","114","7550"
"Heath Hembree","LAD","16.7%","28.6%","","0.3","2","9","0","0","115","73","0","293","228","11632"
"Ryan McKenna","BAL","0.0%","16.1%","","-0.1","0","10","0","0","251","0","0","359","194","19928"
"Domingo Tapia","OAK","0.0%","27.5%","","-0.4","1","11","0","0","169","12","0","239","149","12178"
"Zack Britton","NYY","0.0%","23.1%","","-2.1","1","9","0","0","697","6","0","838","174","3240"
"Elvin Rodriguez","DET","15.4%","19.1%","","-3.6","5","20","0","0","92","90","456","196","159","20962"
"Tommy Romero","WSN","29.4%","22.0%","-6.7","","2","23","1","0","232","18","1113","256","86","23465"
"Hunter Gaddis","CLE","35.3%","20.7%","-5.7","","3","21","1","0","174","108","1045","180","87","25636"
"Max Castillo","KCR","9.4%","23.1%","-1.2","0.0","9","51","2","0","160","41","186","204","151","21956"
"Jeurys Familia","BOS","33.3%","20.0%","","-1.6","0","6","0","0","310","0","0","319","116","5114"
"Jimmy Yacabonis","TBR","0.0%","28.6%","","-0.4","2","8","0","0","245","24","0","399","233","15157"
"Frank German","BOS","6.7%","19.0%","","-1.5","4","23","0","0","142","36","418","220","134","24750"
"Noah Davis","COL","0.0%","43.8%","","-0.7","2","7","0","0","127","73","816","313","228","25862"
"Yennier Cano","BAL","0.0%","25.0%","","0.2","7","27","0","0","102","51","0","258","209","25911"
"Kyle Nelson","ARI","16.7%","17.4%","","-0.6","2","11","0","0","226","24","0","352","171","20515"
"Ian Kennedy","ARI","9.7%","22.4%","","-4.8","4","41","0","0","199","29","544","287","165","6986"
"Zach Logue","OAK","23.5%","15.7%","","-1.4","2","21","0","0","197","36","557","319","186","20231"
"Austin Davis","MIN","0.0%","20.9%","","-0.6","1","8","0","0","374","9","0","399","116","17117"
"Adam Oller","OAK","0.0%","22.2%","-0.1","","2","8","1","0","130","36","0","399","262","20132"
"Alex Colome","COL","20.0%","20.0%","","-2.0","2","15","0","0","194","24","700","268","128","6661"
"Kohei Arihara","TEX","25.0%","14.1%","-3.6","","1","26","1","0","305","7","557","452","194","27505"
"James Naile","STL","16.7%","29.0%","","-0.8","1","8","0","0","176","37","816","391","206","18186"
"Art Warren","CIN","0.0%","18.2%","","-0.7","1","8","0","0","503","12","0","586","228","18251"
"Luis Patino","TBR","33.3%","10.0%","-5.4","","0","13","1","0","510","0","1881","539","116","22815"
"A.J. Alexy","TEX","0.0%","22.2%","","-0.9","1","5","0","0","619","12","0","958","349","22343"
