"Name","Team","Barrel%","CSW%","Starting","Relieving","SO","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Blake Snell","SDP","7.6%","28.9%","9.0","","37","112","5","0","75","151","56","70","80","13543"
"Hayden Wesneski","CHC","4.5%","27.2%","6.1","0.2","33","132","4","0","91","173","74","73","84","27581"
"Hunter Harvey","WSN","2.9%","28.7%","","2.0","13","50","0","0","86","159","66","101","125","15507"
"Michael Rucker","CHC","10.0%","26.6%","","0.1","14","50","0","0","94","86","132","101","98","19454"
"Jeff Brigham","MIA","13.3%","31.3%","","-0.6","16","50","0","0","83","147","199","95","102","16631"
"Jonathan Loaisiga","NYY","2.2%","24.4%","","1.9","6","54","0","1","91","72","0","104","101","19753"
"Alex Young","SFG","2.6%","25.8%","-0.6","2.3","8","52","1","0","106","73","0","101","105","18333"
"Shane Bieber","CLE","8.5%","29.0%","8.8","","34","155","6","0","77","409","82","70","89","19427"
"Joe Ryan","MIN","4.4%","26.8%","7.5","","30","111","5","0","106","90","29","75","73","21390"
"Yu Darvish","SDP","13.6%","27.2%","6.0","","35","122","5","0","91","214","128","66","72","13074"
"Reynaldo Lopez","CHW","5.6%","23.8%","","0.9","6","44","0","0","132","108","70","60","60","16400"
"Kolby Allard","TEX","14.3%","30.0%","","-0.2","6","15","0","0","69","108","209","80","58","18694"
"Jeremiah Estrada","CHC","10.0%","19.0%","","0.0","6","17","0","0","50","220","204","117","152","22210"
"Jose Urena","COL","4.9%","24.0%","6.0","","25","116","5","0","85","102","58","103","113","11589"
"Packy Naughton","STL","0.0%","24.1%","","0.3","3","21","0","0","106","110","0","156","150","23292"
"Bryce Elder","ATL","7.0%","24.9%","4.6","","17","79","3","0","80","156","42","80","92","27779"
"Chris Flexen","SEA","5.4%","20.5%","-0.6","1.2","8","49","1","0","115","72","72","89","78","13896"
"Ronny Henriquez","MIN","8.3%","23.2%","","0.1","9","50","0","0","118","108","72","75","70","24094"
"Jordan Romano","TOR","3.6%","30.1%","","4.2","14","47","0","6","89","126","0","82","100","16122"
"Anthony Misiewicz","KCR","12.1%","31.7%","","1.4","11","47","0","0","96","132","72","82","87","18152"
"Anthony Bass","TOR","10.7%","35.2%","","-1.7","13","47","0","0","107","78","215","96","70","7982"
"Rowan Wick","CHC","15.0%","26.3%","","0.9","11","35","0","0","79","101","106","122","126","14646"
"Chris Stratton","STL","4.8%","28.3%","","1.0","7","32","0","0","115","86","0","102","114","13761"
"Aaron Nola","PHI","7.4%","35.9%","11.6","","45","134","6","0","56","236","48","71","95","16149"
"Michael Lorenzen","LAA","4.8%","26.2%","3.7","","30","107","5","0","91","77","94","87","70","14843"
"Patrick Sandoval","LAA","7.4%","28.1%","5.4","","24","113","5","0","88","108","63","105","110","19447"
"Ryne Nelson","ARI","10.3%","24.1%","-0.6","","9","44","2","0","146","55","144","76","38","26253"
"Alexis Diaz","CIN","4.8%","30.8%","","-0.1","13","43","0","4","119","68","72","76","51","21132"
"Brandon Hughes","CHC","15.2%","27.8%","","-2.0","9","48","0","5","133","55","144","110","88","23460"
